id,description,vendor,cwe_category,cwe_explanation,cause,impact,published,cvss_score,severity,source,description_without_punct,description_normalized,explanation
CVE-2017-7651,"In Eclipse Mosquitto 1.4.14, a user can shutdown the Mosquitto server simply by filling the RAM memory with a lot of connections with large payload. This can be done without authentications if occur in connection phase of MQTT protocol.",Eclipse Mosquitto,CWE-400,Uncontrolled Resource Consumption,Insufficient limitation on the number or size of connections/payloads during the MQTT connection phase,Denial of Service (DoS) via resource exhaustion leading to server shutdown,2018-04-24T14:29:00.437,,,nvd,in eclipse mosquitto 1414 a user can shutdown the mosquitto server simply by filling the ram memory with a lot of connections with large payload this can be done without authentications if occur in connection phase of mqtt protocol,"In Eclipse Mosquitto 1.4.14, a user can shutdown the Mosquitto server simply by filling the RAM memory with a lot of connections with large payload. This can be done without authentications if occur in connection phase of MQTT protocol.",Uncontrolled Resource Consumption
CVE-2017-7652,"In Eclipse Mosquitto 1.4.14, if a Mosquitto instance is set running with a configuration file, then sending a HUP signal to server triggers the configuration to be reloaded from disk. If there are lots of clients connected so that there are no more file descriptors/sockets available (default limit t",Eclipse Mosquitto,CWE-400,Uncontrolled Resource Consumption,Reloading configuration without handling resource limits during high client connections,Denial of Service due to resource exhaustion,2018-04-25T13:29:00.490,,,nvd,in eclipse mosquitto 1414 if a mosquitto instance is set running with a configuration file then sending a hup signal to server triggers the configuration to be reloaded from disk if there are lots of clients connected so that there are no more file descriptorssockets available default limit t,"In Eclipse Mosquitto 1.4.14, if a Mosquitto instance is set running with a configuration file, then sending a HUP signal to server triggers the configuration to be reloaded from disk. If there are lots of clients connected so that there are no more file descriptors/sockets available (default limit t",Uncontrolled Resource Consumption
CVE-2017-7653,"The Eclipse Mosquitto broker up to version 1.4.15 does not reject strings that are not valid UTF-8. A malicious client could cause other clients that do reject invalid UTF-8 strings to disconnect themselves from the broker by sending a topic string which is not valid UTF-8, and so cause a denial of ",Eclipse Mosquitto,CWE-20,Improper Input Validation,Failure to validate topic strings as valid UTF-8,Denial of Service via forced client disconnections,2018-06-05T20:29:00.293,,,nvd,the eclipse mosquitto broker up to version 1415 does not reject strings that are not valid utf8 a malicious client could cause other clients that do reject invalid utf8 strings to disconnect themselves from the broker by sending a topic string which is not valid utf8 and so cause a denial of,"The Eclipse Mosquitto broker up to version 1.4.15 does not reject strings that are not valid UTF-8. A malicious client could cause other clients that do reject invalid UTF-8 strings to disconnect themselves from the broker by sending a topic string which is not valid UTF-8, and so cause a denial of ",Improper Input Validation
CVE-2017-7654,"In Eclipse Mosquitto 1.4.15 and earlier, a Memory Leak vulnerability was found within the Mosquitto Broker. Unauthenticated clients can send crafted CONNECT packets which could cause a denial of service in the Mosquitto Broker.",Eclipse Mosquitto,CWE-401,Missing Release of Memory after Effective Lifetime,Improper handling of crafted CONNECT packets leading to memory not being released,Denial of Service due to memory exhaustion,2018-06-05T20:29:00.340,,,nvd,in eclipse mosquitto 1415 and earlier a memory leak vulnerability was found within the mosquitto broker unauthenticated clients can send crafted connect packets which could cause a denial of service in the mosquitto broker,"In Eclipse Mosquitto 1.4.15 and earlier, a Memory Leak vulnerability was found within the Mosquitto Broker. Unauthenticated clients can send crafted CONNECT packets which could cause a denial of service in the Mosquitto Broker.",Missing Release of Memory after Effective Lifetime
CVE-2018-12543,"In Eclipse Mosquitto versions 1.5 to 1.5.2 inclusive, if a message is published to Mosquitto that has a topic starting with $, but that is not $SYS, e.g. $test/test, then an assert is triggered that should otherwise not be reachable and Mosquitto will exit.",Eclipse Mosquitto,CWE-617,Reachable Assertion,Improper handling of messages with topics starting with $ (excluding $SYS),Denial of Service (Mosquitto exits),2018-11-15T15:29:01.350,,,nvd,in eclipse mosquitto versions 15 to 152 inclusive if a message is published to mosquitto that has a topic starting with  but that is not sys eg testtest then an assert is triggered that should otherwise not be reachable and mosquitto will exit,"In Eclipse Mosquitto versions 1.5 to 1.5.2 inclusive, if a message is published to Mosquitto that has a topic starting with $, but that is not $SYS, e.g. $test/test, then an assert is triggered that should otherwise not be reachable and Mosquitto will exit.",Reachable Assertion
CVE-2018-20145,"Eclipse Mosquitto 1.5.x before 1.5.5 allows ACL bypass: if the option per_listener_settings was set to true, and the default listener was in use, and the default listener specified an acl_file, then the acl file was being ignored.",Eclipse Mosquitto,CWE-284,Improper Access Control,Misconfigured per_listener_settings causing ACL file to be ignored on the default listener,"Unauthorized access due to ACL bypass, potentially leading to privilege escalation or data exposure",2018-12-13T20:29:00.240,,,nvd,eclipse mosquitto 15x before 155 allows acl bypass if the option per_listener_settings was set to true and the default listener was in use and the default listener specified an acl_file then the acl file was being ignored,"Eclipse Mosquitto 1.5.x before 1.5.5 allows ACL bypass: if the option per_listener_settings was set to true, and the default listener was in use, and the default listener specified an acl_file, then the acl file was being ignored.",Improper Access Control
CVE-2018-12546,"In Eclipse Mosquitto version 1.0 to 1.5.5 (inclusive) when a client publishes a retained message to a topic, then has its access to that topic revoked, the retained message will still be published to clients that subscribe to that topic in the future. In some applications this may result in clients ",Eclipse Mosquitto,CWE-284,Improper Access Control,Failure to revoke retained messages after access rights are removed,"Unauthorized clients receive retained messages, leading to information disclosure",2019-03-27T18:29:00.240,6.5,MEDIUM,nvd,in eclipse mosquitto version 10 to 155 inclusive when a client publishes a retained message to a topic then has its access to that topic revoked the retained message will still be published to clients that subscribe to that topic in the future in some applications this may result in clients,"In Eclipse Mosquitto version 1.0 to 1.5.5 (inclusive) when a client publishes a retained message to a topic, then has its access to that topic revoked, the retained message will still be published to clients that subscribe to that topic in the future. In some applications this may result in clients ",Improper Access Control
CVE-2018-12550,"When Eclipse Mosquitto version 1.0 to 1.5.5 (inclusive) is configured to use an ACL file, and that ACL file is empty, or contains only comments or blank lines, then Mosquitto will treat this as though no ACL file has been defined and use a default allow policy. The new behaviour is to have an empty ",Eclipse Mosquitto,CWE-285,Improper Authorization,Empty ACL file or containing only comments/blanks treated as default allow policy,Unauthorized access due to default allow policy when ACL is empty,2019-03-27T18:29:00.303,,,nvd,when eclipse mosquitto version 10 to 155 inclusive is configured to use an acl file and that acl file is empty or contains only comments or blank lines then mosquitto will treat this as though no acl file has been defined and use a default allow policy the new behaviour is to have an empty,"When Eclipse Mosquitto version 1.0 to 1.5.5 (inclusive) is configured to use an ACL file, and that ACL file is empty, or contains only comments or blank lines, then Mosquitto will treat this as though no ACL file has been defined and use a default allow policy. The new behaviour is to have an empty ",Improper Authorization
CVE-2018-12551,"When Eclipse Mosquitto version 1.0 to 1.5.5 (inclusive) is configured to use a password file for authentication, any malformed data in the password file will be treated as valid. This typically means that the malformed data becomes a username and no password. If this occurs, clients can circumvent a",Eclipse Mosquitto,CWE-287,Improper Authentication,Improper validation of malformed entries in the password file,"Clients can bypass authentication, leading to unauthorized access",2019-03-27T18:29:00.367,,,nvd,when eclipse mosquitto version 10 to 155 inclusive is configured to use a password file for authentication any malformed data in the password file will be treated as valid this typically means that the malformed data becomes a username and no password if this occurs clients can circumvent a,"When Eclipse Mosquitto version 1.0 to 1.5.5 (inclusive) is configured to use a password file for authentication, any malformed data in the password file will be treated as valid. This typically means that the malformed data becomes a username and no password. If this occurs, clients can circumvent a",Improper Authentication
CVE-2017-7655,"In Eclipse Mosquitto version from 1.0 to 1.4.15, a Null Dereference vulnerability was found in the Mosquitto library which could lead to crashes for those applications using the library.",Eclipse Mosquitto,CWE-476,NULL Pointer Dereference,Improper handling of a null pointer in the Mosquitto library,Application crashes leading to Denial of Service (DoS),2019-03-27T20:29:02.987,7.5,HIGH,nvd,in eclipse mosquitto version from 10 to 1415 a null dereference vulnerability was found in the mosquitto library which could lead to crashes for those applications using the library,"In Eclipse Mosquitto version from 1.0 to 1.4.15, a Null Dereference vulnerability was found in the Mosquitto library which could lead to crashes for those applications using the library.",NULL Pointer Dereference
