id,description,vendor,cwe_category,cwe_explanation,cause,impact,published,cvss_score,severity,source,description_without_punct,description_normalized,explanation
6C28176D6745BA75C7D14C81D30D131282134D1D90EB73263EADD6F0580C8B56,"## Summary

IBM Integration Bus for z/OS is vulnerable to memory leaking, segmentation fault or heap-use-after-free due to Eclipse Mosquitto.

## Vulnerability Details

**CVEID:**CVE-2024-8376  
**DESCRIPTION:** In Eclipse Mosquitto up to version 2.0.18a, an attacker can achieve memory leaking, segm",Eclipse Mosquitto,CWE-416,Use After Free,Improper memory management in Eclipse Mosquitto leading to use-after-free errors,Memory corruption leading to denial of service or arbitrary code execution,2025-01-28T22:08:51,7.2,HIGH,vulners," summary

ibm integration bus for zos is vulnerable to memory leaking segmentation fault or heapuseafterfree due to eclipse mosquitto

 vulnerability details

cveidcve20248376  
description in eclipse mosquitto up to version 2018a an attacker can achieve memory leaking segm","## Summary

IBM Integration Bus for z/OS is vulnerable to memory leaking, segmentation fault or heap-use-after-free due to Eclipse Mosquitto.

## Vulnerability Details

**CVEID:**CVE-2024-8376  
**DESCRIPTION:** In Eclipse Mosquitto up to version 2.0.18a, an attacker can achieve memory leaking, segm",Use After Free
ROSA-SA-2025-2633,"software: mosquitto 2.0.15
WASP: ROSA-CHROME

package_evr_string: mosquitto-2.0.15

CVE-ID: CVE-2023-0809
BDU-ID: 2024-04210
CVE-Crit: MEDIUM
CVE-DESC.: A vulnerability in the CONNECT component of the Eclipse Mosquitto message broker is related to memory allocation based on an unreliable value of la",Eclipse Mosquitto,CWE-789,Uncontrolled Memory Allocation,Memory allocation based on an unreliable value in the CONNECT component,Denial of Service due to excessive memory consumption,2025-01-28T18:35:58,7.5,HIGH,vulners,"software mosquitto 2015
wasp rosachrome

package_evr_string mosquitto2015

cveid cve20230809
bduid 202404210
cvecrit medium
cvedesc a vulnerability in the connect component of the eclipse mosquitto message broker is related to memory allocation based on an unreliable value of la","software: mosquitto 2.0.15
WASP: ROSA-CHROME

package_evr_string: mosquitto-2.0.15

CVE-ID: CVE-2023-0809
BDU-ID: 2024-04210
CVE-Crit: MEDIUM
CVE-DESC.: A vulnerability in the CONNECT component of the Eclipse Mosquitto message broker is related to memory allocation based on an unreliable value of la",Uncontrolled Memory Allocation
OSV:RHSA-2024:8906,Bulletin has no description,Eclipse Mosquitto,CWE-1003,Insufficient Information for Understanding a Vulnerability,Missing or incomplete vulnerability description in the bulletin,Inability to assess risk or apply mitigations due to lack of details,2024-11-13T21:18:51,7.2,HIGH,vulners,bulletin has no description,Bulletin has no description,Insufficient Information for Understanding a Vulnerability
DEBIAN:BSA-120:CF05C,"Philippe Coval uploaded new packages for mosquitto which fixed the
following security problems:

CVE-2024-8376

In Eclipse Mosquitto up to version 2.0.18a, an attacker can achieve
memory leaking, segmentation fault or heap-use-after-free by sending
specific sequences of &quot;CONNECT&quot;, &quot;DI",Eclipse Mosquitto,CWE-416,Use After Free,Improper handling of CONNECT and DISCONNECT messages leading to memory corruption,"Memory leaks, segmentation faults, or potential remote code execution",2024-11-12T08:01:17,7.2,HIGH,vulners,"philippe coval uploaded new packages for mosquitto which fixed the
following security problems

cve20248376

in eclipse mosquitto up to version 2018a an attacker can achieve
memory leaking segmentation fault or heapuseafterfree by sending
specific sequences of quotconnectquot quotdi","Philippe Coval uploaded new packages for mosquitto which fixed the
following security problems:

CVE-2024-8376

In Eclipse Mosquitto up to version 2.0.18a, an attacker can achieve
memory leaking, segmentation fault or heap-use-after-free by sending
specific sequences of &quot;CONNECT&quot;, &quot;DI",Use After Free
ROS-20241112-07,"Eclipse Mosquitto message broker vulnerability is related to a heap buffer overflow when executing a
on_subscribe callback. Exploitation of the vulnerability could allow an attacker acting
remotely to gain access to sensitive information

The Eclipse Mosquitto message broker vulnerability is related",Eclipse Mosquitto,CWE-122,"Heap-based buffer overflow occurs when a program writes more data to a heap-allocated buffer than it can hold, leading to memory corruption.",Improper input handling in the on_subscribe callback causing a heap buffer overflow,"Remote attackers could access sensitive information, leading to information disclosure",2024-11-12T00:00:00,7.2,HIGH,vulners,"eclipse mosquitto message broker vulnerability is related to a heap buffer overflow when executing a
on_subscribe callback exploitation of the vulnerability could allow an attacker acting
remotely to gain access to sensitive information

the eclipse mosquitto message broker vulnerability is related","Eclipse Mosquitto message broker vulnerability is related to a heap buffer overflow when executing a
on_subscribe callback. Exploitation of the vulnerability could allow an attacker acting
remotely to gain access to sensitive information

The Eclipse Mosquitto message broker vulnerability is related","Heap-based buffer overflow occurs when a program writes more data to a heap-allocated buffer than it can hold, leading to memory corruption."
OSV:RHSA-2024:8718,Bulletin has no description,Eclipse Mosquitto,CWE-1007,Insufficient Explanation of a Vulnerability in a Security Bulletin,Missing description in the security bulletin,"Users cannot assess the vulnerability's relevance or severity, leading to uninformed decisions and potential exploitation",2024-11-06T14:07:21,7.2,HIGH,vulners,bulletin has no description,Bulletin has no description,Insufficient Explanation of a Vulnerability in a Security Bulletin
OSV:RHSA-2024:8719,Bulletin has no description,Eclipse Mosquitto,CWE-1007,Insufficient Information Exposure due to missing vulnerability details,Lack of description in the security bulletin,Inability to assess or mitigate the vulnerability effectively,2024-11-06T14:07:11,7.2,HIGH,vulners,bulletin has no description,Bulletin has no description,Insufficient Information Exposure due to missing vulnerability details
RH:CVE-2024-10525,"A flaw was found in Eclipse Mosquitto. If a malicious broker sends a specially crafted packet, it may trigger a buffer overflow condition in a client using libmosquitto. This issue can lead to an application crash or, in some circumstances, arbitrary code execution.
",Eclipse Mosquitto,CWE-120,Buffer Copy without Checking Size of Input ('Classic Buffer Overflow'),Improper input validation leading to buffer overflow when processing crafted packets,Application crash or arbitrary code execution,2024-10-30T19:58:15,7.6,HIGH,vulners,"a flaw was found in eclipse mosquitto if a malicious broker sends a specially crafted packet it may trigger a buffer overflow condition in a client using libmosquitto this issue can lead to an application crash or in some circumstances arbitrary code execution
","A flaw was found in Eclipse Mosquitto. If a malicious broker sends a specially crafted packet, it may trigger a buffer overflow condition in a client using libmosquitto. This issue can lead to an application crash or, in some circumstances, arbitrary code execution.
",Buffer Copy without Checking Size of Input ('Classic Buffer Overflow')
DEBIANCVE:CVE-2024-3935,"In Eclipse Mosquito, versions from 2.0.0 through 2.0.18, if a Mosquitto broker is configured to create an outgoing bridge connection, and that bridge connection has an incoming topic configured that makes use of topic remapping, then if the remote connection sends a crafted PUBLISH packet to the bro",Eclipse Mosquitto,CWE-122,Heap-based Buffer Overflow,Improper handling of crafted PUBLISH packets in bridge connections with topic remapping,Denial of Service via broker crash or potential arbitrary code execution,2024-10-30T12:15:03,6.0,MEDIUM,vulners,in eclipse mosquito versions from 200 through 2018 if a mosquitto broker is configured to create an outgoing bridge connection and that bridge connection has an incoming topic configured that makes use of topic remapping then if the remote connection sends a crafted publish packet to the bro,"In Eclipse Mosquito, versions from 2.0.0 through 2.0.18, if a Mosquitto broker is configured to create an outgoing bridge connection, and that bridge connection has an incoming topic configured that makes use of topic remapping, then if the remote connection sends a crafted PUBLISH packet to the bro",Heap-based Buffer Overflow
OSV:CVE-2024-3935,"In Eclipse Mosquito, versions from 2.0.0 through 2.0.18, if a Mosquitto broker is configured to create an outgoing bridge connection, and that bridge connection has an incoming topic configured that makes use of topic remapping, then if the remote connection sends a crafted PUBLISH packet to the bro",Eclipse Mosquitto,CWE-20,Improper Input Validation,Improper validation of crafted PUBLISH packets in bridge connections with topic remapping,Arbitrary code execution or denial of service,2024-10-30T12:15:03,6.0,MEDIUM,vulners,in eclipse mosquito versions from 200 through 2018 if a mosquitto broker is configured to create an outgoing bridge connection and that bridge connection has an incoming topic configured that makes use of topic remapping then if the remote connection sends a crafted publish packet to the bro,"In Eclipse Mosquito, versions from 2.0.0 through 2.0.18, if a Mosquitto broker is configured to create an outgoing bridge connection, and that bridge connection has an incoming topic configured that makes use of topic remapping, then if the remote connection sends a crafted PUBLISH packet to the bro",Improper Input Validation
