id,description,vendor,cwe_category,cwe_explanation,cause,impact,published,cvss_score,severity,source,description_without_punct,description_normalized,explanation
CVE-2009-0374,"Google Chrome 1.0.154.43 allows remote attackers to trick a user into visiting an arbitrary URL via an onclick action that moves a crafted element to the current mouse position, related to a ""Clickjacking"" vulnerability.  NOTE: a third party disputes the relevance of this issue, stating that ""every ",Google Chrome Browser,CWE-352,Cross-Site Request Forgery (CSRF),Improper handling of onclick actions allows attackers to manipulate elements and redirect users to malicious URLs.,"Remote attackers can trick users into visiting arbitrary URLs, potentially leading to phishing, malware infection, or other attacks.",2009-01-30T21:30:00.217,,,nvd,google chrome 1015443 allows remote attackers to trick a user into visiting an arbitrary url via an onclick action that moves a crafted element to the current mouse position related to a clickjacking vulnerability  note a third party disputes the relevance of this issue stating that every,"Google Chrome 1.0.154.43 allows remote attackers to trick a user into visiting an arbitrary URL via an onclick action that moves a crafted element to the current mouse position, related to a ""Clickjacking"" vulnerability.  NOTE: a third party disputes the relevance of this issue, stating that ""every ",Cross-Site Request Forgery (CSRF)
CVE-2009-2071,"Google Chrome before 1.0.154.53 displays a cached certificate for a (1) 4xx or (2) 5xx CONNECT response page returned by a proxy server, which allows man-in-the-middle attackers to spoof an arbitrary https site by letting a browser obtain a valid certificate from this site during one request, and th",Google Chrome Browser,CWE-310,Cryptographic Failure,Google Chrome before 1.0.154.53 displays a cached certificate for a 4xx or 5xx CONNECT response page returned by a proxy server.,Man-in-the-middle attackers can spoof an arbitrary HTTPS site by letting a browser obtain a valid certificate from this site during one request.,2009-06-15T19:30:05.733,,,nvd,google chrome before 1015453 displays a cached certificate for a 1 4xx or 2 5xx connect response page returned by a proxy server which allows maninthemiddle attackers to spoof an arbitrary https site by letting a browser obtain a valid certificate from this site during one request and th,"Google Chrome before 1.0.154.53 displays a cached certificate for a (1) 4xx or (2) 5xx CONNECT response page returned by a proxy server, which allows man-in-the-middle attackers to spoof an arbitrary https site by letting a browser obtain a valid certificate from this site during one request, and th",Cryptographic Failure
CVE-2009-2121,Buffer overflow in the browser kernel in Google Chrome before 2.0.172.33 allows remote HTTP servers to cause a denial of service (application crash) or possibly execute arbitrary code via a crafted response.,Google Chrome Browser,CWE-120,Classic buffer overflow vulnerability where writing data beyond the allocated buffer boundary leads to unpredictable behavior.,A crafted HTTP response exceeding the buffer size allocated in the Chrome browser kernel.,Denial of service (application crash) or arbitrary code execution.,2009-06-23T21:30:00.250,,,nvd,buffer overflow in the browser kernel in google chrome before 2017233 allows remote http servers to cause a denial of service application crash or possibly execute arbitrary code via a crafted response,Buffer overflow in the browser kernel in Google Chrome before 2.0.172.33 allows remote HTTP servers to cause a denial of service (application crash) or possibly execute arbitrary code via a crafted response.,Classic buffer overflow vulnerability where writing data beyond the allocated buffer boundary leads to unpredictable behavior.
CVE-2008-7246,"Google Chrome 0.2.149.29 and earlier allows remote attackers to cause a denial of service (unusable browser) by calling the window.print function in a loop, aka a ""printing DoS attack,"" possibly a related issue to CVE-2009-0821.",Google Chrome Browser,CWE-400,Uncontrolled Resource Consumption,"A flaw in the Chrome browser's handling of the window.print function allows attackers to trigger an infinite loop, consuming excessive browser resources.",Denial of service (DoS); renders the browser unusable.,2009-09-18T22:30:00.483,,,nvd,google chrome 0214929 and earlier allows remote attackers to cause a denial of service unusable browser by calling the windowprint function in a loop aka a printing dos attack possibly a related issue to cve20090821,"Google Chrome 0.2.149.29 and earlier allows remote attackers to cause a denial of service (unusable browser) by calling the window.print function in a loop, aka a ""printing DoS attack,"" possibly a related issue to CVE-2009-0821.",Uncontrolled Resource Consumption
CVE-2009-3931,"Incomplete blacklist vulnerability in browser/download/download_exe.cc in Google Chrome before 3.0.195.32 allows remote attackers to force the download of certain dangerous files via a ""Content-Disposition: attachment"" designation, as demonstrated by (1) .mht and (2) .mhtml files, which are automati",Google Chrome Browser,CWE-20,Improper Input Validation,"Incomplete blacklist in the download handling logic of Google Chrome did not properly block .mht and .mhtml files that could be used to force the download of malicious files via a ""Content-Disposition: attachment"" designation.","Remote attackers could force the download of dangerous files, potentially leading to malware execution or other system compromises.",2009-11-12T17:54:58.420,,,nvd,incomplete blacklist vulnerability in browserdownloaddownload_execc in google chrome before 3019532 allows remote attackers to force the download of certain dangerous files via a contentdisposition attachment designation as demonstrated by 1 mht and 2 mhtml files which are automati,"Incomplete blacklist vulnerability in browser/download/download_exe.cc in Google Chrome before 3.0.195.32 allows remote attackers to force the download of certain dangerous files via a ""Content-Disposition: attachment"" designation, as demonstrated by (1) .mht and (2) .mhtml files, which are automati",Improper Input Validation
CVE-2010-0556,"browser/login/login_prompt.cc in Google Chrome before 4.0.249.89 populates an authentication dialog with credentials that were stored by Password Manager for a different web site, which allows user-assisted remote HTTP servers to obtain sensitive information via a URL that requires authentication, a",Google Chrome Browser,CWE-259,Use of Hard-coded Credentials,The browser incorrectly populates an authentication dialog with credentials stored for a different website.,User-assisted remote HTTP servers can obtain sensitive information from a URL that requires authentication.,2010-02-18T17:30:00.583,,,nvd,browserloginlogin_promptcc in google chrome before 4024989 populates an authentication dialog with credentials that were stored by password manager for a different web site which allows userassisted remote http servers to obtain sensitive information via a url that requires authentication a,"browser/login/login_prompt.cc in Google Chrome before 4.0.249.89 populates an authentication dialog with credentials that were stored by Password Manager for a different web site, which allows user-assisted remote HTTP servers to obtain sensitive information via a URL that requires authentication, a",Use of Hard-coded Credentials
CVE-2010-0664,Stack consumption vulnerability in the ChildProcessSecurityPolicy::CanRequestURL function in browser/child_process_security_policy.cc in Google Chrome before 4.0.249.78 allows remote attackers to cause a denial of service (memory consumption and application crash) via a URL that specifies multiple p,Google Chrome Browser,CWE-787,Out-of-bounds write vulnerability,A flaw in the ChildProcessSecurityPolicy::CanRequestURL function allows an attacker to manipulate a URL to cause a stack overflow.,Denial of service (DoS) via memory consumption and application crash.,2010-02-18T18:00:01.130,,,nvd,stack consumption vulnerability in the childprocesssecuritypolicycanrequesturl function in browserchild_process_security_policycc in google chrome before 4024978 allows remote attackers to cause a denial of service memory consumption and application crash via a url that specifies multiple p,Stack consumption vulnerability in the ChildProcessSecurityPolicy::CanRequestURL function in browser/child_process_security_policy.cc in Google Chrome before 4.0.249.78 allows remote attackers to cause a denial of service (memory consumption and application crash) via a URL that specifies multiple p,Out-of-bounds write vulnerability
CVE-2010-1236,"The protocolIs function in platform/KURLGoogle.cpp in WebCore in WebKit before r55822, as used in Google Chrome before 4.1.249.1036 and Flock Browser 3.x before 3.0.0.4112, does not properly handle whitespace at the beginning of a URL, which allows remote attackers to conduct cross-site scripting (X",Google Chrome Browser,CWE-79,Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),The protocolIs function in WebKit's KURLGoogle.cpp does not properly handle whitespace at the beginning of a URL.,Remote attackers can conduct cross-site scripting (XSS) attacks.,2010-04-01T22:30:00.750,,,nvd,the protocolis function in platformkurlgooglecpp in webcore in webkit before r55822 as used in google chrome before 412491036 and flock browser 3x before 3004112 does not properly handle whitespace at the beginning of a url which allows remote attackers to conduct crosssite scripting x,"The protocolIs function in platform/KURLGoogle.cpp in WebCore in WebKit before r55822, as used in Google Chrome before 4.1.249.1036 and Flock Browser 3.x before 3.0.0.4112, does not properly handle whitespace at the beginning of a URL, which allows remote attackers to conduct cross-site scripting (X",Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting')
CVE-2010-2298,"browser/renderer_host/database_dispatcher_host.cc in Google Chrome before 5.0.375.70 on Linux does not properly handle ViewHostMsg_DatabaseOpenFile messages in chroot-based sandboxing, which allows remote attackers to bypass intended sandbox restrictions via vectors involving fchdir and chdir calls.",Google Chrome Browser,CWE-264,"Permissions, privileges, and access rights are not properly enforced, resulting in improper access.",Improper handling of ViewHostMsg_DatabaseOpenFile messages in chroot-based sandboxing allows attackers to bypass sandbox restrictions using fchdir and chdir calls.,"Remote attackers can bypass sandbox restrictions, potentially leading to arbitrary code execution and system compromise.",2010-06-15T18:00:02.187,,,nvd,browserrenderer_hostdatabase_dispatcher_hostcc in google chrome before 5037570 on linux does not properly handle viewhostmsg_databaseopenfile messages in chrootbased sandboxing which allows remote attackers to bypass intended sandbox restrictions via vectors involving fchdir and chdir calls,"browser/renderer_host/database_dispatcher_host.cc in Google Chrome before 5.0.375.70 on Linux does not properly handle ViewHostMsg_DatabaseOpenFile messages in chroot-based sandboxing, which allows remote attackers to bypass intended sandbox restrictions via vectors involving fchdir and chdir calls.","Permissions, privileges, and access rights are not properly enforced, resulting in improper access."
CVE-2010-4575,"The ThemeInstalledInfoBarDelegate::Observe function in browser/extensions/theme_installed_infobar_delegate.cc in Google Chrome before 8.0.552.224 and Chrome OS before 8.0.552.343 does not properly handle incorrect tab interaction by an extension, which allows user-assisted remote attackers to cause ",Google Chrome Browser,CWE-20,Improper Input Validation,The ThemeInstalledInfoBarDelegate::Observe function does not properly handle incorrect tab interaction by an extension.,User-assisted remote attackers can cause unspecified impact.,2010-12-22T01:00:03.063,,,nvd,the themeinstalledinfobardelegateobserve function in browserextensionstheme_installed_infobar_delegatecc in google chrome before 80552224 and chrome os before 80552343 does not properly handle incorrect tab interaction by an extension which allows userassisted remote attackers to cause,"The ThemeInstalledInfoBarDelegate::Observe function in browser/extensions/theme_installed_infobar_delegate.cc in Google Chrome before 8.0.552.224 and Chrome OS before 8.0.552.343 does not properly handle incorrect tab interaction by an extension, which allows user-assisted remote attackers to cause ",Improper Input Validation
