id,description,vendor,cwe_category,cwe_explanation,cause,impact,published,cvss_score,severity,source,description_without_punct,description_normalized,explanation
CVE-2019-15135,"The handshake protocol in Object Management Group (OMG) DDS Security 1.1 sends cleartext information about all of the capabilities of a participant (including capabilities inapplicable to the current session), which makes it easier for attackers to discover potentially sensitive reachability informa",Data Distribution Service (DDS),CWE-200,Information Leakage,"The handshake protocol in OMG DDS Security 1.1 sends cleartext information about all participant capabilities, including those irrelevant to the current session.",Attackers can easily discover sensitive reachability information.,2019-08-18T16:15:10.330,,,nvd,the handshake protocol in object management group omg dds security 11 sends cleartext information about all of the capabilities of a participant including capabilities inapplicable to the current session which makes it easier for attackers to discover potentially sensitive reachability informa,"The handshake protocol in Object Management Group (OMG) DDS Security 1.1 sends cleartext information about all of the capabilities of a participant (including capabilities inapplicable to the current session), which makes it easier for attackers to discover potentially sensitive reachability informa",Information Leakage
CVE-2019-15136,"The Access Control plugin in eProsima Fast RTPS through 1.9.0 does not check partition permissions from remote participant connections, which can lead to policy bypass for a secure Data Distribution Service (DDS) partition.",Data Distribution Service (DDS),CWE-862,Missing Authorization,The Access Control plugin in eProsima Fast RTPS does not check partition permissions from remote participant connections.,Policy bypass for a secure Data Distribution Service (DDS) partition.,2019-08-18T16:15:10.567,,,nvd,the access control plugin in eprosima fast rtps through 190 does not check partition permissions from remote participant connections which can lead to policy bypass for a secure data distribution service dds partition,"The Access Control plugin in eProsima Fast RTPS through 1.9.0 does not check partition permissions from remote participant connections, which can lead to policy bypass for a secure Data Distribution Service (DDS) partition.",Missing Authorization
CVE-2019-15137,"The Access Control plugin in eProsima Fast RTPS through 1.9.0 allows fnmatch pattern matches with topic name strings (instead of the permission expressions themselves), which can lead to unintended connections between participants in a Data Distribution Service (DDS) network.",Data Distribution Service (DDS),CWE-287,Improper Authentication,"The Access Control plugin in eProsima Fast RTPS uses fnmatch pattern matching on topic name strings for access control instead of using permission expressions. This allows attackers to craft topic names that match unintended permission patterns, bypassing the intended access control.","Unintended connections between participants in a Data Distribution Service (DDS) network, potentially leading to data breaches or denial-of-service attacks.",2019-08-18T16:15:10.627,,,nvd,the access control plugin in eprosima fast rtps through 190 allows fnmatch pattern matches with topic name strings instead of the permission expressions themselves which can lead to unintended connections between participants in a data distribution service dds network,"The Access Control plugin in eProsima Fast RTPS through 1.9.0 allows fnmatch pattern matches with topic name strings (instead of the permission expressions themselves), which can lead to unintended connections between participants in a Data Distribution Service (DDS) network.",Improper Authentication
CVE-2023-23932,OpenDDS is an open source C++ implementation of the Object Management Group (OMG) Data Distribution Service (DDS). OpenDDS applications that are exposed to untrusted RTPS network traffic may crash when parsing badly-formed input. This issue has been patched in version 3.23.1.,Data Distribution Service (DDS),CWE-119,Improper Restriction of Operations within the Bounds of a Memory Buffer,Parsing badly-formed RTPS network input.,OpenDDS applications may crash.,2023-02-03T21:15:11.267,5.3,MEDIUM,nvd,opendds is an open source c implementation of the object management group omg data distribution service dds opendds applications that are exposed to untrusted rtps network traffic may crash when parsing badlyformed input this issue has been patched in version 3231,OpenDDS is an open source C++ implementation of the Object Management Group (OMG) Data Distribution Service (DDS). OpenDDS applications that are exposed to untrusted RTPS network traffic may crash when parsing badly-formed input. This issue has been patched in version 3.23.1.,Improper Restriction of Operations within the Bounds of a Memory Buffer
CVE-2023-37915,OpenDDS is an open source C++ implementation of the Object Management Group (OMG) Data Distribution Service (DDS). OpenDDS crashes while parsing a malformed `PID_PROPERTY_LIST` in a DATA submessage during participant discovery. Attackers can remotely crash OpenDDS processes by sending a DATA submess,Data Distribution Service (DDS),CWE-119,Improper Restriction of Operations within the Bounds of a Memory Buffer,"OpenDDS crashes due to improper handling of a malformed `PID_PROPERTY_LIST` in a DATA submessage during participant discovery.  The parser does not correctly handle malformed input, leading to a buffer overflow or similar memory corruption.","Remote attackers can crash OpenDDS processes by sending a crafted DATA submessage, resulting in a denial-of-service (DoS) attack.",2023-07-21T21:15:11.400,7.5,HIGH,nvd,opendds is an open source c implementation of the object management group omg data distribution service dds opendds crashes while parsing a malformed pid_property_list in a data submessage during participant discovery attackers can remotely crash opendds processes by sending a data submess,OpenDDS is an open source C++ implementation of the Object Management Group (OMG) Data Distribution Service (DDS). OpenDDS crashes while parsing a malformed `PID_PROPERTY_LIST` in a DATA submessage during participant discovery. Attackers can remotely crash OpenDDS processes by sending a DATA submess,Improper Restriction of Operations within the Bounds of a Memory Buffer
CVE-2023-39534,"eprosima Fast DDS is a C++ implementation of the Data Distribution Service standard of the Object Management Group. Prior to versions 2.10.0, 2.9.2, and 2.6.5, a malformed GAP submessage can trigger assertion failure, crashing FastDDS. Version 2.10.0, 2.9.2, and 2.6.5 contain a patch for this issue.",FastDDS,CWE-690,Improper Input Validation,"A malformed GAP submessage is not properly handled, leading to an assertion failure.",Crashing of the Fast DDS application.,2023-08-11T14:15:13.240,7.5,HIGH,nvd,eprosima fast dds is a c implementation of the data distribution service standard of the object management group prior to versions 2100 292 and 265 a malformed gap submessage can trigger assertion failure crashing fastdds version 2100 292 and 265 contain a patch for this issue,"eprosima Fast DDS is a C++ implementation of the Data Distribution Service standard of the Object Management Group. Prior to versions 2.10.0, 2.9.2, and 2.6.5, a malformed GAP submessage can trigger assertion failure, crashing FastDDS. Version 2.10.0, 2.9.2, and 2.6.5 contain a patch for this issue.",Improper Input Validation
CVE-2023-39945,"eprosima Fast DDS is a C++ implementation of the Data Distribution Service standard of the Object Management Group. Prior to versions 2.11.0, 2.10.2, 2.9.2, and 2.6.5, a data submessage sent to PDP port raises unhandled `BadParamException` in fastcdr, which in turn crashes fastdds. Versions 2.11.0, ",FastDDS,CWE-476,Null pointer dereference,"An unhandled `BadParamException` in the fastcdr library is raised when a data submessage is sent to the PDP port, leading to a crash.",Crash of the fastdds application.,2023-08-11T14:15:13.363,8.2,HIGH,nvd,eprosima fast dds is a c implementation of the data distribution service standard of the object management group prior to versions 2110 2102 292 and 265 a data submessage sent to pdp port raises unhandled badparamexception in fastcdr which in turn crashes fastdds versions 2110,"eprosima Fast DDS is a C++ implementation of the Data Distribution Service standard of the Object Management Group. Prior to versions 2.11.0, 2.10.2, 2.9.2, and 2.6.5, a data submessage sent to PDP port raises unhandled `BadParamException` in fastcdr, which in turn crashes fastdds. Versions 2.11.0, ",Null pointer dereference
CVE-2024-26369,"An issue in the HistoryQosPolicy component of FastDDS v2.12.x, v2.11.x, v2.10.x, and v2.6.x leads to a SIGABRT (signal abort) upon receiving DataWriter's data.",FastDDS,CWE-476,NULL pointer dereference,A flaw in the HistoryQosPolicy component of FastDDS causes a NULL pointer dereference when processing data from a DataWriter.,A SIGABRT (signal abort) leading to application crash.,2024-03-19T06:15:06.267,7.5,HIGH,nvd,an issue in the historyqospolicy component of fastdds v212x v211x v210x and v26x leads to a sigabrt signal abort upon receiving datawriters data,"An issue in the HistoryQosPolicy component of FastDDS v2.12.x, v2.11.x, v2.10.x, and v2.6.x leads to a SIGABRT (signal abort) upon receiving DataWriter's data.",NULL pointer dereference
CVE-2024-30916,"An issue was discovered in eProsima FastDDS v.2.14.0 and before, allows a local attacker to cause a denial of service (DoS) and obtain sensitive information via a crafted max_samples parameter in DurabilityService QoS component.",FastDDS,CWE-798,"Use of a hardcoded value that leads to unintended behavior, such as Denial of Service (DoS) or information disclosure.",A crafted `max_samples` parameter in the DurabilityService QoS component.,Denial of service (DoS) and potential sensitive information disclosure.,2024-04-11T06:15:07.030,7.1,HIGH,nvd,an issue was discovered in eprosima fastdds v2140 and before allows a local attacker to cause a denial of service dos and obtain sensitive information via a crafted max_samples parameter in durabilityservice qos component,"An issue was discovered in eProsima FastDDS v.2.14.0 and before, allows a local attacker to cause a denial of service (DoS) and obtain sensitive information via a crafted max_samples parameter in DurabilityService QoS component.","Use of a hardcoded value that leads to unintended behavior, such as Denial of Service (DoS) or information disclosure."
CVE-2024-30917,"An issue was discovered in eProsima FastDDS v.2.14.0 and before, allows a local attacker to cause a denial of service (DoS) and obtain sensitive information via a crafted history_depth parameter in DurabilityService QoS component.",FastDDS,CWE-770,Improper Input Validation,A crafted `history_depth` parameter in the DurabilityService QoS component is not properly validated.,Denial of service (DoS) and potential sensitive information disclosure.,2024-04-11T06:15:07.083,5.5,MEDIUM,nvd,an issue was discovered in eprosima fastdds v2140 and before allows a local attacker to cause a denial of service dos and obtain sensitive information via a crafted history_depth parameter in durabilityservice qos component,"An issue was discovered in eProsima FastDDS v.2.14.0 and before, allows a local attacker to cause a denial of service (DoS) and obtain sensitive information via a crafted history_depth parameter in DurabilityService QoS component.",Improper Input Validation
CVE-2024-30258,"FastDDS is a C++ implementation of the DDS (Data Distribution Service) standard of the OMG (Object Management Group). Prior to versions 2.14.1, 2.13.5, 2.10.4, and 2.6.8, when a publisher serves a malformed `RTPS` packet, the subscriber crashes when creating `pthread`. This can remotely crash any Fa",FastDDS,CWE-754,Off-by-one error,A malformed RTPS packet causes an off-by-one error when creating a pthread in the subscriber.,Remotely crashes the FastDDS subscriber.,2024-05-14T15:22:15.163,8.2,HIGH,nvd,fastdds is a c implementation of the dds data distribution service standard of the omg object management group prior to versions 2141 2135 2104 and 268 when a publisher serves a malformed rtps packet the subscriber crashes when creating pthread this can remotely crash any fa,"FastDDS is a C++ implementation of the DDS (Data Distribution Service) standard of the OMG (Object Management Group). Prior to versions 2.14.1, 2.13.5, 2.10.4, and 2.6.8, when a publisher serves a malformed `RTPS` packet, the subscriber crashes when creating `pthread`. This can remotely crash any Fa",Off-by-one error
CVE-2024-30259,"FastDDS is a C++ implementation of the DDS (Data Distribution Service) standard of the OMG (Object Management Group). Prior to versions 2.14.1, 2.13.5, 2.10.4, and 2.6.8, when a publisher serves malformed `RTPS` packet, heap buffer overflow occurs on the subscriber. This can remotely crash any Fast-",FastDDS,CWE-126,Buffer Overflow vulnerability.,Malformed RTPS packet served by a publisher causes a heap buffer overflow on the subscriber.,Remotely crashing the FastDDS subscriber.,2024-05-14T15:22:15.967,8.2,HIGH,nvd,fastdds is a c implementation of the dds data distribution service standard of the omg object management group prior to versions 2141 2135 2104 and 268 when a publisher serves malformed rtps packet heap buffer overflow occurs on the subscriber this can remotely crash any fast,"FastDDS is a C++ implementation of the DDS (Data Distribution Service) standard of the OMG (Object Management Group). Prior to versions 2.14.1, 2.13.5, 2.10.4, and 2.6.8, when a publisher serves malformed `RTPS` packet, heap buffer overflow occurs on the subscriber. This can remotely crash any Fast-",Buffer Overflow vulnerability.
CVE-2021-38427,"RTI Connext DDS Professional and Connext DDS Secure Versions 4.2.x to 6.1.0 are vulnerable to a stack-based buffer overflow, which may allow a local attacker to execute arbitrary code.",RTI Connext DDS,CWE-787,Out-of-bounds write that leads to buffer overflow vulnerability.,Stack-based buffer overflow in RTI Connext DDS Professional and Connext DDS Secure versions 4.2.x to 6.1.0.,Local attacker may execute arbitrary code.,2022-05-05T17:15:09.147,6.6,MEDIUM,nvd,rti connext dds professional and connext dds secure versions 42x to 610 are vulnerable to a stackbased buffer overflow which may allow a local attacker to execute arbitrary code,"RTI Connext DDS Professional and Connext DDS Secure Versions 4.2.x to 6.1.0 are vulnerable to a stack-based buffer overflow, which may allow a local attacker to execute arbitrary code.",Out-of-bounds write that leads to buffer overflow vulnerability.
