id,description,vendor,cwe_category,cwe_explanation,cause,impact,published,cvss_score,severity,source,description_without_punct,description_normalized,explanation
CVE-2017-7651,"In Eclipse Mosquitto 1.4.14, a user can shutdown the Mosquitto server simply by filling the RAM memory with a lot of connections with large payload. This can be done without authentications if occur in connection phase of MQTT protocol.",Eclipse Mosquitto,CWE-770,Resource Exhaustion,"Lack of sufficient resource limits or rate limiting on incoming connections, allowing an attacker to exhaust server memory by establishing numerous connections with large payloads.","Denial of service (DoS).  The Mosquitto server becomes unresponsive due to memory exhaustion, preventing legitimate clients from connecting and using the service.",2018-04-24T14:29:00.437,,,nvd,in eclipse mosquitto 1414 a user can shutdown the mosquitto server simply by filling the ram memory with a lot of connections with large payload this can be done without authentications if occur in connection phase of mqtt protocol,"In Eclipse Mosquitto 1.4.14, a user can shutdown the Mosquitto server simply by filling the RAM memory with a lot of connections with large payload. This can be done without authentications if occur in connection phase of MQTT protocol.",Resource Exhaustion
CVE-2017-7652,"In Eclipse Mosquitto 1.4.14, if a Mosquitto instance is set running with a configuration file, then sending a HUP signal to server triggers the configuration to be reloaded from disk. If there are lots of clients connected so that there are no more file descriptors/sockets available (default limit t",Eclipse Mosquitto,CWE-704,Resource Exhaustion,Reloading the configuration file upon receiving a HUP signal when there are insufficient file descriptors/sockets available.,Denial of service.  The server becomes unresponsive due to resource exhaustion.,2018-04-25T13:29:00.490,,,nvd,in eclipse mosquitto 1414 if a mosquitto instance is set running with a configuration file then sending a hup signal to server triggers the configuration to be reloaded from disk if there are lots of clients connected so that there are no more file descriptorssockets available default limit t,"In Eclipse Mosquitto 1.4.14, if a Mosquitto instance is set running with a configuration file, then sending a HUP signal to server triggers the configuration to be reloaded from disk. If there are lots of clients connected so that there are no more file descriptors/sockets available (default limit t",Resource Exhaustion
CVE-2017-7653,"The Eclipse Mosquitto broker up to version 1.4.15 does not reject strings that are not valid UTF-8. A malicious client could cause other clients that do reject invalid UTF-8 strings to disconnect themselves from the broker by sending a topic string which is not valid UTF-8, and so cause a denial of ",Eclipse Mosquitto,CWE-20,Improper Input Validation,"The Eclipse Mosquitto broker does not validate UTF-8 encoding of topic strings, allowing malicious clients to send invalid UTF-8 strings.",Denial of service. Malicious clients can cause other clients that properly validate UTF-8 to disconnect from the broker.,2018-06-05T20:29:00.293,,,nvd,the eclipse mosquitto broker up to version 1415 does not reject strings that are not valid utf8 a malicious client could cause other clients that do reject invalid utf8 strings to disconnect themselves from the broker by sending a topic string which is not valid utf8 and so cause a denial of,"The Eclipse Mosquitto broker up to version 1.4.15 does not reject strings that are not valid UTF-8. A malicious client could cause other clients that do reject invalid UTF-8 strings to disconnect themselves from the broker by sending a topic string which is not valid UTF-8, and so cause a denial of ",Improper Input Validation
CVE-2017-7654,"In Eclipse Mosquitto 1.4.15 and earlier, a Memory Leak vulnerability was found within the Mosquitto Broker. Unauthenticated clients can send crafted CONNECT packets which could cause a denial of service in the Mosquitto Broker.",Eclipse Mosquitto,CWE-400,Uncontrolled Resource Consumption,Unauthenticated clients can send crafted CONNECT packets that cause a memory leak in the Mosquitto Broker.,Denial of service in the Mosquitto Broker.,2018-06-05T20:29:00.340,,,nvd,in eclipse mosquitto 1415 and earlier a memory leak vulnerability was found within the mosquitto broker unauthenticated clients can send crafted connect packets which could cause a denial of service in the mosquitto broker,"In Eclipse Mosquitto 1.4.15 and earlier, a Memory Leak vulnerability was found within the Mosquitto Broker. Unauthenticated clients can send crafted CONNECT packets which could cause a denial of service in the Mosquitto Broker.",Uncontrolled Resource Consumption
CVE-2018-12543,"In Eclipse Mosquitto versions 1.5 to 1.5.2 inclusive, if a message is published to Mosquitto that has a topic starting with $, but that is not $SYS, e.g. $test/test, then an assert is triggered that should otherwise not be reachable and Mosquitto will exit.",Eclipse Mosquitto,CWE-476,Null pointer dereference,"An assertion is triggered when a message is published to a topic starting with '$' but not '$SYS', causing unexpected termination.","Mosquitto broker will unexpectedly exit, disrupting MQTT communication and service availability.",2018-11-15T15:29:01.350,,,nvd,in eclipse mosquitto versions 15 to 152 inclusive if a message is published to mosquitto that has a topic starting with  but that is not sys eg testtest then an assert is triggered that should otherwise not be reachable and mosquitto will exit,"In Eclipse Mosquitto versions 1.5 to 1.5.2 inclusive, if a message is published to Mosquitto that has a topic starting with $, but that is not $SYS, e.g. $test/test, then an assert is triggered that should otherwise not be reachable and Mosquitto will exit.",Null pointer dereference
CVE-2018-20145,"Eclipse Mosquitto 1.5.x before 1.5.5 allows ACL bypass: if the option per_listener_settings was set to true, and the default listener was in use, and the default listener specified an acl_file, then the acl file was being ignored.",Eclipse Mosquitto,CWE-287,Improper Access Control,"Incorrect handling of the `per_listener_settings` option when the default listener is used with an acl_file, leading to the ACL file being ignored.","ACL bypass, allowing unauthorized access to the MQTT broker.",2018-12-13T20:29:00.240,,,nvd,eclipse mosquitto 15x before 155 allows acl bypass if the option per_listener_settings was set to true and the default listener was in use and the default listener specified an acl_file then the acl file was being ignored,"Eclipse Mosquitto 1.5.x before 1.5.5 allows ACL bypass: if the option per_listener_settings was set to true, and the default listener was in use, and the default listener specified an acl_file, then the acl file was being ignored.",Improper Access Control
CVE-2018-12546,"In Eclipse Mosquitto version 1.0 to 1.5.5 (inclusive) when a client publishes a retained message to a topic, then has its access to that topic revoked, the retained message will still be published to clients that subscribe to that topic in the future. In some applications this may result in clients ",Eclipse Mosquitto,CWE-200,Information Exposure through a flaw in access control.,"Improper access control in the handling of retained messages.  When client access is revoked, the retained message is not removed.",Unauthorized clients can still receive sensitive data from retained messages after their access has been revoked.,2019-03-27T18:29:00.240,6.5,MEDIUM,nvd,in eclipse mosquitto version 10 to 155 inclusive when a client publishes a retained message to a topic then has its access to that topic revoked the retained message will still be published to clients that subscribe to that topic in the future in some applications this may result in clients,"In Eclipse Mosquitto version 1.0 to 1.5.5 (inclusive) when a client publishes a retained message to a topic, then has its access to that topic revoked, the retained message will still be published to clients that subscribe to that topic in the future. In some applications this may result in clients ",Information Exposure through a flaw in access control.
CVE-2018-12550,"When Eclipse Mosquitto version 1.0 to 1.5.5 (inclusive) is configured to use an ACL file, and that ACL file is empty, or contains only comments or blank lines, then Mosquitto will treat this as though no ACL file has been defined and use a default allow policy. The new behaviour is to have an empty ",Eclipse Mosquitto,CWE-835,Improper Access Control,"An empty or improperly configured Access Control List (ACL) file in Eclipse Mosquitto versions 1.0 to 1.5.5 allows default allow policy to be applied, bypassing intended access restrictions.","Unauthorized access to the MQTT broker.  All clients might be able to connect and publish/subscribe to topics, even if access should be restricted.",2019-03-27T18:29:00.303,,,nvd,when eclipse mosquitto version 10 to 155 inclusive is configured to use an acl file and that acl file is empty or contains only comments or blank lines then mosquitto will treat this as though no acl file has been defined and use a default allow policy the new behaviour is to have an empty,"When Eclipse Mosquitto version 1.0 to 1.5.5 (inclusive) is configured to use an ACL file, and that ACL file is empty, or contains only comments or blank lines, then Mosquitto will treat this as though no ACL file has been defined and use a default allow policy. The new behaviour is to have an empty ",Improper Access Control
CVE-2018-12551,"When Eclipse Mosquitto version 1.0 to 1.5.5 (inclusive) is configured to use a password file for authentication, any malformed data in the password file will be treated as valid. This typically means that the malformed data becomes a username and no password. If this occurs, clients can circumvent a",Eclipse Mosquitto,CWE-287,Improper Authentication,Malformed data in the password file is treated as a valid username without requiring a password.,"Clients can circumvent authentication by providing malformed data in the username field, effectively gaining unauthorized access.",2019-03-27T18:29:00.367,,,nvd,when eclipse mosquitto version 10 to 155 inclusive is configured to use a password file for authentication any malformed data in the password file will be treated as valid this typically means that the malformed data becomes a username and no password if this occurs clients can circumvent a,"When Eclipse Mosquitto version 1.0 to 1.5.5 (inclusive) is configured to use a password file for authentication, any malformed data in the password file will be treated as valid. This typically means that the malformed data becomes a username and no password. If this occurs, clients can circumvent a",Improper Authentication
CVE-2017-7655,"In Eclipse Mosquitto version from 1.0 to 1.4.15, a Null Dereference vulnerability was found in the Mosquitto library which could lead to crashes for those applications using the library.",Eclipse Mosquitto,CWE-476,Null pointer dereference.  Accessing memory through a null pointer can lead to program crashes or unexpected behavior.,A null pointer dereference in the Mosquitto library.,Application crashes.,2019-03-27T20:29:02.987,7.5,HIGH,nvd,in eclipse mosquitto version from 10 to 1415 a null dereference vulnerability was found in the mosquitto library which could lead to crashes for those applications using the library,"In Eclipse Mosquitto version from 1.0 to 1.4.15, a Null Dereference vulnerability was found in the Mosquitto library which could lead to crashes for those applications using the library.",Null pointer dereference.  Accessing memory through a null pointer can lead to program crashes or unexpected behavior.
CVE-2019-11778,"If an MQTT v5 client connects to Eclipse Mosquitto versions 1.6.0 to 1.6.4 inclusive, sets a last will and testament, sets a will delay interval, sets a session expiry interval, and the will delay interval is set longer than the session expiry interval, then a use after free error occurs, which has ",Eclipse Mosquitto,CWE-416,Use After Free,"A use after free error occurs when an MQTT v5 client connects with specific settings: a last will and testament, a will delay interval, and a session expiry interval, where the will delay interval is longer than the session expiry interval.",The use after free error can lead to unexpected behavior or crashes in the Mosquitto broker.,2019-09-18T23:15:10.987,5.4,MEDIUM,nvd,if an mqtt v5 client connects to eclipse mosquitto versions 160 to 164 inclusive sets a last will and testament sets a will delay interval sets a session expiry interval and the will delay interval is set longer than the session expiry interval then a use after free error occurs which has,"If an MQTT v5 client connects to Eclipse Mosquitto versions 1.6.0 to 1.6.4 inclusive, sets a last will and testament, sets a will delay interval, sets a session expiry interval, and the will delay interval is set longer than the session expiry interval, then a use after free error occurs, which has ",Use After Free
CVE-2019-11779,"In Eclipse Mosquitto 1.5.0 to 1.6.5 inclusive, if a malicious MQTT client sends a SUBSCRIBE packet containing a topic that consists of approximately 65400 or more '/' characters, i.e. the topic hierarchy separator, then a stack overflow will occur.",Eclipse Mosquitto,CWE-787,Out-of-bounds write (Stack Overflow),"A malicious MQTT client sends a SUBSCRIBE packet with a topic containing approximately 65400 or more '/' characters, exceeding the buffer capacity.","Stack overflow, leading to a crash of the Mosquitto server and potentially allowing for remote code execution.",2019-09-19T14:15:10.573,6.5,MEDIUM,nvd,in eclipse mosquitto 150 to 165 inclusive if a malicious mqtt client sends a subscribe packet containing a topic that consists of approximately 65400 or more  characters ie the topic hierarchy separator then a stack overflow will occur,"In Eclipse Mosquitto 1.5.0 to 1.6.5 inclusive, if a malicious MQTT client sends a SUBSCRIBE packet containing a topic that consists of approximately 65400 or more '/' characters, i.e. the topic hierarchy separator, then a stack overflow will occur.",Out-of-bounds write (Stack Overflow)
CVE-2021-28166,"In Eclipse Mosquitto version 2.0.0 to 2.0.9, if an authenticated client that had connected with MQTT v5 sent a crafted CONNACK message to the broker, a NULL pointer dereference would occur.",Eclipse Mosquitto,CWE-476,"NULL pointer dereference:  The code attempts to dereference a null pointer, leading to unexpected behavior or a crash.",A crafted CONNACK message from an authenticated MQTT v5 client causes a NULL pointer dereference in the Mosquitto broker.,"A NULL pointer dereference can lead to a crash of the Mosquitto broker, potentially resulting in denial of service.",2021-04-07T19:15:12.347,6.5,MEDIUM,nvd,in eclipse mosquitto version 200 to 209 if an authenticated client that had connected with mqtt v5 sent a crafted connack message to the broker a null pointer dereference would occur,"In Eclipse Mosquitto version 2.0.0 to 2.0.9, if an authenticated client that had connected with MQTT v5 sent a crafted CONNACK message to the broker, a NULL pointer dereference would occur.","NULL pointer dereference:  The code attempts to dereference a null pointer, leading to unexpected behavior or a crash."
CVE-2021-28825,The Windows Installation component of TIBCO Software Inc.'s TIBCO Messaging - Eclipse Mosquitto Distribution - Core - Community Edition and TIBCO Messaging - Eclipse Mosquitto Distribution - Core - Enterprise Edition contains a vulnerability that theoretically allows a low privileged attacker with l,Eclipse Mosquitto,CWE-264,"Permissions, privileges, and access rights are not properly enforced, potentially allowing unauthorized access or actions.",A low-privileged attacker may be able to exploit a vulnerability in the Windows Installation component of TIBCO Messaging - Eclipse Mosquitto Distribution.,Theoretically allows a low-privileged attacker to perform unauthorized actions.,2021-04-14T17:15:14.147,8.8,HIGH,nvd,the windows installation component of tibco software incs tibco messaging  eclipse mosquitto distribution  core  community edition and tibco messaging  eclipse mosquitto distribution  core  enterprise edition contains a vulnerability that theoretically allows a low privileged attacker with l,The Windows Installation component of TIBCO Software Inc.'s TIBCO Messaging - Eclipse Mosquitto Distribution - Core - Community Edition and TIBCO Messaging - Eclipse Mosquitto Distribution - Core - Enterprise Edition contains a vulnerability that theoretically allows a low privileged attacker with l,"Permissions, privileges, and access rights are not properly enforced, potentially allowing unauthorized access or actions."
