id,description,vendor,cwe_category,cwe_explanation,cause,impact,published,cvss_score,severity,source,description_without_punct,description_normalized,explanation
6C28176D6745BA75C7D14C81D30D131282134D1D90EB73263EADD6F0580C8B56,"## Summary

IBM Integration Bus for z/OS is vulnerable to memory leaking, segmentation fault or heap-use-after-free due to Eclipse Mosquitto.

## Vulnerability Details

**CVEID:**CVE-2024-8376  
**DESCRIPTION:** In Eclipse Mosquitto up to version 2.0.18a, an attacker can achieve memory leaking, segm",Eclipse Mosquitto,CWE-401,Memory Leak,"A vulnerability in Eclipse Mosquitto versions up to 2.0.18a allows for memory leaks, segmentation faults, or heap-use-after-free.","Memory leaking, segmentation fault or heap-use-after-free, potentially leading to denial of service or other system instability.",2025-01-28T22:08:51,7.2,HIGH,vulners," summary

ibm integration bus for zos is vulnerable to memory leaking segmentation fault or heapuseafterfree due to eclipse mosquitto

 vulnerability details

cveidcve20248376  
description in eclipse mosquitto up to version 2018a an attacker can achieve memory leaking segm","## Summary

IBM Integration Bus for z/OS is vulnerable to memory leaking, segmentation fault or heap-use-after-free due to Eclipse Mosquitto.

## Vulnerability Details

**CVEID:**CVE-2024-8376  
**DESCRIPTION:** In Eclipse Mosquitto up to version 2.0.18a, an attacker can achieve memory leaking, segm",Memory Leak
ROSA-SA-2025-2633,"software: mosquitto 2.0.15
WASP: ROSA-CHROME

package_evr_string: mosquitto-2.0.15

CVE-ID: CVE-2023-0809
BDU-ID: 2024-04210
CVE-Crit: MEDIUM
CVE-DESC.: A vulnerability in the CONNECT component of the Eclipse Mosquitto message broker is related to memory allocation based on an unreliable value of la",Eclipse Mosquitto,CWE-126,Buffer Overflow,Memory allocation based on an unreliable value.,Potential for arbitrary code execution or denial of service.,2025-01-28T18:35:58,7.5,HIGH,vulners,"software mosquitto 2015
wasp rosachrome

package_evr_string mosquitto2015

cveid cve20230809
bduid 202404210
cvecrit medium
cvedesc a vulnerability in the connect component of the eclipse mosquitto message broker is related to memory allocation based on an unreliable value of la","software: mosquitto 2.0.15
WASP: ROSA-CHROME

package_evr_string: mosquitto-2.0.15

CVE-ID: CVE-2023-0809
BDU-ID: 2024-04210
CVE-Crit: MEDIUM
CVE-DESC.: A vulnerability in the CONNECT component of the Eclipse Mosquitto message broker is related to memory allocation based on an unreliable value of la",Buffer Overflow
OSV:RHSA-2024:8906,Bulletin has no description,Eclipse Mosquitto,Unknown,Unable to determine CWE category due to lack of vulnerability description.,Unknown,Unknown,2024-11-13T21:18:51,7.2,HIGH,vulners,bulletin has no description,Bulletin has no description,Unable to determine CWE category due to lack of vulnerability description.
DEBIAN:BSA-120:CF05C,"Philippe Coval uploaded new packages for mosquitto which fixed the
following security problems:

CVE-2024-8376

In Eclipse Mosquitto up to version 2.0.18a, an attacker can achieve
memory leaking, segmentation fault or heap-use-after-free by sending
specific sequences of &quot;CONNECT&quot;, &quot;DI",Eclipse Mosquitto,CWE-416,Use After Free,"Sending specific sequences of ""CONNECT"", ""DISCONNECT"" and other MQTT packets can cause memory leaks, segmentation faults, or heap-use-after-free vulnerabilities.","Memory leaks, segmentation faults, or heap-use-after-free, potentially leading to denial of service or arbitrary code execution.",2024-11-12T08:01:17,7.2,HIGH,vulners,"philippe coval uploaded new packages for mosquitto which fixed the
following security problems

cve20248376

in eclipse mosquitto up to version 2018a an attacker can achieve
memory leaking segmentation fault or heapuseafterfree by sending
specific sequences of quotconnectquot quotdi","Philippe Coval uploaded new packages for mosquitto which fixed the
following security problems:

CVE-2024-8376

In Eclipse Mosquitto up to version 2.0.18a, an attacker can achieve
memory leaking, segmentation fault or heap-use-after-free by sending
specific sequences of &quot;CONNECT&quot;, &quot;DI",Use After Free
ROS-20241112-07,"Eclipse Mosquitto message broker vulnerability is related to a heap buffer overflow when executing a
on_subscribe callback. Exploitation of the vulnerability could allow an attacker acting
remotely to gain access to sensitive information

The Eclipse Mosquitto message broker vulnerability is related",Eclipse Mosquitto,CWE-122,"Heap-based buffer overflow.  This occurs when a program attempts to write data beyond the allocated memory space of a heap-allocated buffer, potentially leading to crashes, data corruption, or arbitrary code execution.",A heap buffer overflow in the `on_subscribe` callback function of the Eclipse Mosquitto message broker.,An attacker could gain remote access to sensitive information.,2024-11-12T00:00:00,7.2,HIGH,vulners,"eclipse mosquitto message broker vulnerability is related to a heap buffer overflow when executing a
on_subscribe callback exploitation of the vulnerability could allow an attacker acting
remotely to gain access to sensitive information

the eclipse mosquitto message broker vulnerability is related","Eclipse Mosquitto message broker vulnerability is related to a heap buffer overflow when executing a
on_subscribe callback. Exploitation of the vulnerability could allow an attacker acting
remotely to gain access to sensitive information

The Eclipse Mosquitto message broker vulnerability is related","Heap-based buffer overflow.  This occurs when a program attempts to write data beyond the allocated memory space of a heap-allocated buffer, potentially leading to crashes, data corruption, or arbitrary code execution."
OSV:RHSA-2024:8718,Bulletin has no description,Eclipse Mosquitto,Unknown,Unable to determine CWE category due to lack of vulnerability description.,Unknown,Unknown,2024-11-06T14:07:21,7.2,HIGH,vulners,bulletin has no description,Bulletin has no description,Unable to determine CWE category due to lack of vulnerability description.
OSV:RHSA-2024:8719,Bulletin has no description,Eclipse Mosquitto,Unknown,Unknown,Unknown,Unknown,2024-11-06T14:07:11,7.2,HIGH,vulners,bulletin has no description,Bulletin has no description,Unknown
RH:CVE-2024-10525,"A flaw was found in Eclipse Mosquitto. If a malicious broker sends a specially crafted packet, it may trigger a buffer overflow condition in a client using libmosquitto. This issue can lead to an application crash or, in some circumstances, arbitrary code execution.
",Eclipse Mosquitto,CWE-120,"Buffer Overflow.  This occurs when a program attempts to write data beyond the allocated buffer size, potentially overwriting adjacent memory regions.",A malicious broker sending a specially crafted packet that triggers a buffer overflow in the libmosquitto client.,"Application crash or, in some cases, arbitrary code execution.",2024-10-30T19:58:15,7.6,HIGH,vulners,"a flaw was found in eclipse mosquitto if a malicious broker sends a specially crafted packet it may trigger a buffer overflow condition in a client using libmosquitto this issue can lead to an application crash or in some circumstances arbitrary code execution
","A flaw was found in Eclipse Mosquitto. If a malicious broker sends a specially crafted packet, it may trigger a buffer overflow condition in a client using libmosquitto. This issue can lead to an application crash or, in some circumstances, arbitrary code execution.
","Buffer Overflow.  This occurs when a program attempts to write data beyond the allocated buffer size, potentially overwriting adjacent memory regions."
DEBIANCVE:CVE-2024-3935,"In Eclipse Mosquito, versions from 2.0.0 through 2.0.18, if a Mosquitto broker is configured to create an outgoing bridge connection, and that bridge connection has an incoming topic configured that makes use of topic remapping, then if the remote connection sends a crafted PUBLISH packet to the bro",Eclipse Mosquitto,CWE-20,Improper Input Validation,Improper handling of topic remapping in outgoing bridge connections allows crafted PUBLISH packets to bypass intended access controls.,Remote attackers could potentially send crafted PUBLISH packets to gain unauthorized access to topics or cause unintended behavior within the Mosquitto broker.,2024-10-30T12:15:03,6.0,MEDIUM,vulners,in eclipse mosquito versions from 200 through 2018 if a mosquitto broker is configured to create an outgoing bridge connection and that bridge connection has an incoming topic configured that makes use of topic remapping then if the remote connection sends a crafted publish packet to the bro,"In Eclipse Mosquito, versions from 2.0.0 through 2.0.18, if a Mosquitto broker is configured to create an outgoing bridge connection, and that bridge connection has an incoming topic configured that makes use of topic remapping, then if the remote connection sends a crafted PUBLISH packet to the bro",Improper Input Validation
OSV:CVE-2024-3935,"In Eclipse Mosquito, versions from 2.0.0 through 2.0.18, if a Mosquitto broker is configured to create an outgoing bridge connection, and that bridge connection has an incoming topic configured that makes use of topic remapping, then if the remote connection sends a crafted PUBLISH packet to the bro",Eclipse Mosquitto,CWE-20,Improper Input Validation,Improper handling of topic remapping in outgoing bridge connections allows a crafted PUBLISH packet to cause unexpected behavior.,Potential for denial of service or other unspecified impacts due to unexpected behavior caused by a crafted PUBLISH packet.,2024-10-30T12:15:03,6.0,MEDIUM,vulners,in eclipse mosquito versions from 200 through 2018 if a mosquitto broker is configured to create an outgoing bridge connection and that bridge connection has an incoming topic configured that makes use of topic remapping then if the remote connection sends a crafted publish packet to the bro,"In Eclipse Mosquito, versions from 2.0.0 through 2.0.18, if a Mosquitto broker is configured to create an outgoing bridge connection, and that bridge connection has an incoming topic configured that makes use of topic remapping, then if the remote connection sends a crafted PUBLISH packet to the bro",Improper Input Validation
