id,description,vendor,cwe_category,cwe_explanation,cause,impact,published,cvss_score,severity,source,description_without_punct,description_normalized,explanation
CVE-2017-13002,The AODV parser in tcpdump before 4.9.2 has a buffer over-read in print-aodv.c:aodv_extension().,AODV,CWE-125,Out-of-bounds Read,A buffer over-read in the AODV parser's `aodv_extension()` function within `print-aodv.c`.,"Potential for crashes, information leaks, or arbitrary code execution.",2017-09-14T06:29:01.280,,,nvd,the aodv parser in tcpdump before 492 has a buffer overread in printaodvcaodv_extension,The AODV parser in tcpdump before 4.9.2 has a buffer over-read in print-aodv.c:aodv_extension().,Out-of-bounds Read
CVE-2003-0533,"Stack-based buffer overflow in certain Active Directory service functions in LSASRV.DLL of the Local Security Authority Subsystem Service (LSASS) in Microsoft Windows NT 4.0 SP6a, 2000 SP2 through SP4, XP SP1, Server 2003, NetMeeting, Windows 98, and Windows ME, allows remote attackers to execute ar",DSR,CWE-120,Classic buffer overflow vulnerability where writing data beyond the allocated buffer boundary leads to memory corruption.,Stack-based buffer overflow in Active Directory service functions within LSASRV.DLL.,Remote attackers can execute arbitrary code.,2004-06-01T04:00:00.000,,,nvd,stackbased buffer overflow in certain active directory service functions in lsasrvdll of the local security authority subsystem service lsass in microsoft windows nt 40 sp6a 2000 sp2 through sp4 xp sp1 server 2003 netmeeting windows 98 and windows me allows remote attackers to execute ar,"Stack-based buffer overflow in certain Active Directory service functions in LSASRV.DLL of the Local Security Authority Subsystem Service (LSASS) in Microsoft Windows NT 4.0 SP6a, 2000 SP2 through SP4, XP SP1, Server 2003, NetMeeting, Windows 98, and Windows ME, allows remote attackers to execute ar",Classic buffer overflow vulnerability where writing data beyond the allocated buffer boundary leads to memory corruption.
CVE-2011-5145,Multiple SQL injection vulnerabilities in Open Business Management (OBM) 2.4.0-rc13 and probably earlier allow remote authenticated users to execute arbitrary SQL commands via the (1) sel_domain_id or (2) action parameter to obm.php; (3) tf_user parameter in a search action to group/group_index.php;,DSR,CWE-89,Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection'),"Lack of proper input validation and sanitization of user-supplied parameters (sel_domain_id, action, tf_user) in obm.php and group/group_index.php.","Remote authenticated users can execute arbitrary SQL commands, potentially leading to data breaches, data modification, server compromise, and denial of service.",2012-08-31T21:55:01.480,,,nvd,multiple sql injection vulnerabilities in open business management obm 240rc13 and probably earlier allow remote authenticated users to execute arbitrary sql commands via the 1 sel_domain_id or 2 action parameter to obmphp 3 tf_user parameter in a search action to groupgroup_indexphp,Multiple SQL injection vulnerabilities in Open Business Management (OBM) 2.4.0-rc13 and probably earlier allow remote authenticated users to execute arbitrary SQL commands via the (1) sel_domain_id or (2) action parameter to obm.php; (3) tf_user parameter in a search action to group/group_index.php;,Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection')
CVE-2013-5946,"The runShellCmd function in systemCheck.htm in D-Link DSR-150 with firmware before 1.08B44; DSR-150N with firmware before 1.05B64; DSR-250 and DSR-250N with firmware before 1.08B44; and DSR-500, DSR-500N, DSR-1000, and DSR-1000N with firmware before 1.08B77 allows remote attackers to execute arbitra",DSR,CWE-78,Improper Neutralization of Special Elements used in an OS Command ('Command Injection'),The runShellCmd function in systemCheck.htm does not properly sanitize user inputs before executing them as shell commands.,"Remote attackers can execute arbitrary commands on the affected devices, potentially leading to complete compromise of the device.",2013-12-19T04:24:51.930,,,nvd,the runshellcmd function in systemcheckhtm in dlink dsr150 with firmware before 108b44 dsr150n with firmware before 105b64 dsr250 and dsr250n with firmware before 108b44 and dsr500 dsr500n dsr1000 and dsr1000n with firmware before 108b77 allows remote attackers to execute arbitra,"The runShellCmd function in systemCheck.htm in D-Link DSR-150 with firmware before 1.08B44; DSR-150N with firmware before 1.05B64; DSR-250 and DSR-250N with firmware before 1.08B44; and DSR-500, DSR-500N, DSR-1000, and DSR-1000N with firmware before 1.08B77 allows remote attackers to execute arbitra",Improper Neutralization of Special Elements used in an OS Command ('Command Injection')
CVE-2013-7004,"D-Link DSR-150 with firmware before 1.08B44; DSR-150N with firmware before 1.05B64; DSR-250 and DSR-250N with firmware before 1.08B44; and DSR-500, DSR-500N, DSR-1000, and DSR-1000N with firmware before 1.08B77 have a hardcoded account of username gkJ9232xXyruTRmY, which makes it easier for remote a",DSR,CWE-798,Use of Hardcoded Credentials,Hardcoded account with username 'gkJ9232xXyruTRmY' in the firmware of multiple D-Link DSR routers.,Remote attackers can easily gain unauthorized access to the affected devices.,2013-12-19T04:24:57.463,,,nvd,dlink dsr150 with firmware before 108b44 dsr150n with firmware before 105b64 dsr250 and dsr250n with firmware before 108b44 and dsr500 dsr500n dsr1000 and dsr1000n with firmware before 108b77 have a hardcoded account of username gkj9232xxyrutrmy which makes it easier for remote a,"D-Link DSR-150 with firmware before 1.08B44; DSR-150N with firmware before 1.05B64; DSR-250 and DSR-250N with firmware before 1.08B44; and DSR-500, DSR-500N, DSR-1000, and DSR-1000N with firmware before 1.08B77 have a hardcoded account of username gkJ9232xXyruTRmY, which makes it easier for remote a",Use of Hardcoded Credentials
CVE-2013-7005,"D-Link DSR-150 with firmware before 1.08B44; DSR-150N with firmware before 1.05B64; DSR-250 and DSR-250N with firmware before 1.08B44; and DSR-500, DSR-500N, DSR-1000, and DSR-1000N with firmware before 1.08B77 stores account passwords in cleartext, which allows local users to obtain sensitive infor",DSR,CWE-259,Use of Hardcoded Password,The D-Link devices store account passwords in cleartext within their firmware.,"Local users can obtain sensitive information, including account passwords.",2013-12-19T04:24:57.493,,,nvd,dlink dsr150 with firmware before 108b44 dsr150n with firmware before 105b64 dsr250 and dsr250n with firmware before 108b44 and dsr500 dsr500n dsr1000 and dsr1000n with firmware before 108b77 stores account passwords in cleartext which allows local users to obtain sensitive infor,"D-Link DSR-150 with firmware before 1.08B44; DSR-150N with firmware before 1.05B64; DSR-250 and DSR-250N with firmware before 1.08B44; and DSR-500, DSR-500N, DSR-1000, and DSR-1000N with firmware before 1.08B77 stores account passwords in cleartext, which allows local users to obtain sensitive infor",Use of Hardcoded Password
CVE-2012-6613,D-Link DSR-250N devices with firmware 1.05B73_WW allow Persistent Root Access because of the admin password for the admin account.,DSR,CWE-259,Use of Hard-coded Credentials,The admin account uses a hardcoded password in firmware version 1.05B73_WW.,Persistent root access allows attackers to completely compromise the device.,2020-01-25T19:15:11.040,7.2,HIGH,nvd,dlink dsr250n devices with firmware 105b73_ww allow persistent root access because of the admin password for the admin account,D-Link DSR-250N devices with firmware 1.05B73_WW allow Persistent Root Access because of the admin password for the admin account.,Use of Hard-coded Credentials
CVE-2013-5945,"Multiple SQL injection vulnerabilities in D-Link DSR-150 with firmware before 1.08B44; DSR-150N with firmware before 1.05B64; DSR-250 and DSR-250N with firmware before 1.08B44; and DSR-500, DSR-500N, DSR-1000, and DSR-1000N with firmware before 1.08B77 allow remote attackers to execute arbitrary SQL",DSR,CWE-89,Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection'),Lack of proper input validation and sanitization in the vulnerable D-Link routers' firmware allows remote attackers to inject malicious SQL code.,"Remote attackers can execute arbitrary SQL commands, potentially leading to data breaches, data modification, denial of service, and complete compromise of the affected devices.",2020-02-11T12:15:11.757,9.8,CRITICAL,nvd,multiple sql injection vulnerabilities in dlink dsr150 with firmware before 108b44 dsr150n with firmware before 105b64 dsr250 and dsr250n with firmware before 108b44 and dsr500 dsr500n dsr1000 and dsr1000n with firmware before 108b77 allow remote attackers to execute arbitrary sql,"Multiple SQL injection vulnerabilities in D-Link DSR-150 with firmware before 1.08B44; DSR-150N with firmware before 1.05B64; DSR-250 and DSR-250N with firmware before 1.08B44; and DSR-500, DSR-500N, DSR-1000, and DSR-1000N with firmware before 1.08B77 allow remote attackers to execute arbitrary SQL",Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection')
CVE-2012-6614,"D-Link DSR-250N devices before 1.08B31 allow remote authenticated users to obtain ""persistent root access"" via the BusyBox CLI, as demonstrated by overwriting the super user password.",DSR,CWE-264,"Permissions, privileges, and access rights are not properly managed.  This allows an attacker to gain elevated privileges.",A vulnerability in the BusyBox CLI on D-Link DSR-250N devices allows remote authenticated users to overwrite the super user password.,"Remote authenticated users can obtain persistent root access, allowing them to completely compromise the device.",2020-02-19T15:15:11.567,7.2,HIGH,nvd,dlink dsr250n devices before 108b31 allow remote authenticated users to obtain persistent root access via the busybox cli as demonstrated by overwriting the super user password,"D-Link DSR-250N devices before 1.08B31 allow remote authenticated users to obtain ""persistent root access"" via the BusyBox CLI, as demonstrated by overwriting the super user password.","Permissions, privileges, and access rights are not properly managed.  This allows an attacker to gain elevated privileges."
CVE-2020-26567,"An issue was discovered on D-Link DSR-250N before 3.17B devices. The CGI script upgradeStatusReboot.cgi can be accessed without authentication. Any access reboots the device, rendering it therefore unusable for several minutes.",DSR,CWE-862,Missing Authentication for Critical Function,The CGI script upgradeStatusReboot.cgi lacks authentication.,"Unauthorized access can reboot the device, rendering it unusable for several minutes.",2020-10-08T13:15:11.233,5.5,MEDIUM,nvd,an issue was discovered on dlink dsr250n before 317b devices the cgi script upgradestatusrebootcgi can be accessed without authentication any access reboots the device rendering it therefore unusable for several minutes,"An issue was discovered on D-Link DSR-250N before 3.17B devices. The CGI script upgradeStatusReboot.cgi can be accessed without authentication. Any access reboots the device, rendering it therefore unusable for several minutes.",Missing Authentication for Critical Function
