id,description,vendor,cwe_category,cwe_explanation,cause,impact,published,cvss_score,severity,source,description_without_punct,description_normalized,explanation
CVE-2009-0374,"Google Chrome 1.0.154.43 allows remote attackers to trick a user into visiting an arbitrary URL via an onclick action that moves a crafted element to the current mouse position, related to a ""Clickjacking"" vulnerability.  NOTE: a third party disputes the relevance of this issue, stating that ""every ",Google Chrome Browser,Unknown,<brief explanation of the vulnerability> Vendor: <vendor name> Cause: <cause of the vulnerability> Impact: <impact of the vulnerability><|eot_id|> CWE ID: 661,"and impact of the vulnerability. Provide the CWE ID (only the CWE ID of the vulnerability), a brief explanation, the vendor name, the cause of the vulnerability, and its impact. Description:  Google Chrome 1.0.154.43 allows remote attackers to trick a user into visiting an arbitrary URL via an onclick action that moves a crafted element to the current mouse position, related to a ""Clickjacking"" vulnerability. NOTE: a third party disputes the relevance of this issue, stating that ""every  Rules for returning the vendor: - Return only the official/primary vendor name - For open source projects, return the organization maintaining it - If multiple vendors are mentioned, return the one responsible for the vulnerable component - Normalize variations of the same vendor name - If no clear vendor is found, return ""Unknown"" - Use official vendor names where possible and keep the same name for vulnerabilities of the same vendor Format your response as follows: CWE ID: <CWE-ID number only> Explanation: <brief explanation of the vulnerability> Vendor: <vendor name> Cause: <cause of the vulnerability> Impact: <impact of the vulnerability><|eot_id|> CWE ID: 661","of the vulnerability. Provide the CWE ID (only the CWE ID of the vulnerability), a brief explanation, the vendor name, the cause of the vulnerability, and its impact. Description:  Google Chrome 1.0.154.43 allows remote attackers to trick a user into visiting an arbitrary URL via an onclick action that moves a crafted element to the current mouse position, related to a ""Clickjacking"" vulnerability. NOTE: a third party disputes the relevance of this issue, stating that ""every  Rules for returning the vendor: - Return only the official/primary vendor name - For open source projects, return the organization maintaining it - If multiple vendors are mentioned, return the one responsible for the vulnerable component - Normalize variations of the same vendor name - If no clear vendor is found, return ""Unknown"" - Use official vendor names where possible and keep the same name for vulnerabilities of the same vendor Format your response as follows: CWE ID: <CWE-ID number only> Explanation: <brief explanation of the vulnerability> Vendor: <vendor name> Cause: <cause of the vulnerability> Impact: <impact of the vulnerability><|eot_id|> CWE ID: 661",2009-01-30T21:30:00.217,,,nvd,google chrome 1015443 allows remote attackers to trick a user into visiting an arbitrary url via an onclick action that moves a crafted element to the current mouse position related to a clickjacking vulnerability  note a third party disputes the relevance of this issue stating that every,"Google Chrome 1.0.154.43 allows remote attackers to trick a user into visiting an arbitrary URL via an onclick action that moves a crafted element to the current mouse position, related to a ""Clickjacking"" vulnerability.  NOTE: a third party disputes the relevance of this issue, stating that ""every ",<brief explanation of the vulnerability> Vendor: <vendor name> Cause: <cause of the vulnerability> Impact: <impact of the vulnerability><|eot_id|> CWE ID: 661
CVE-2009-2071,"Google Chrome before 1.0.154.53 displays a cached certificate for a (1) 4xx or (2) 5xx CONNECT response page returned by a proxy server, which allows man-in-the-middle attackers to spoof an arbitrary https site by letting a browser obtain a valid certificate from this site during one request, and th",Google Chrome Browser,Unknown,<brief explanation of the vulnerability> Vendor: <vendor name> Cause: <cause of the vulnerability> Impact: <impact of the vulnerability><|eot_id|> CWE ID: 310,"and impact of the vulnerability. Provide the CWE ID (only the CWE ID of the vulnerability), a brief explanation, the vendor name, the cause of the vulnerability, and its impact. Description:  Google Chrome before 1.0.154.53 displays a cached certificate for a (1) 4xx or (2) 5xx CONNECT response page returned by a proxy server, which allows man-in-the-middle attackers to spoof an arbitrary https site by letting a browser obtain a valid certificate from this site during one request, and th  Rules for returning the vendor: - Return only the official/primary vendor name - For open source projects, return the organization maintaining it - If multiple vendors are mentioned, return the one responsible for the vulnerable component - Normalize variations of the same vendor name - If no clear vendor is found, return ""Unknown"" - Use official vendor names where possible and keep the same name for vulnerabilities of the same vendor Format your response as follows: CWE ID: <CWE-ID number only> Explanation: <brief explanation of the vulnerability> Vendor: <vendor name> Cause: <cause of the vulnerability> Impact: <impact of the vulnerability><|eot_id|> CWE ID: 310","of the vulnerability. Provide the CWE ID (only the CWE ID of the vulnerability), a brief explanation, the vendor name, the cause of the vulnerability, and its impact. Description:  Google Chrome before 1.0.154.53 displays a cached certificate for a (1) 4xx or (2) 5xx CONNECT response page returned by a proxy server, which allows man-in-the-middle attackers to spoof an arbitrary https site by letting a browser obtain a valid certificate from this site during one request, and th  Rules for returning the vendor: - Return only the official/primary vendor name - For open source projects, return the organization maintaining it - If multiple vendors are mentioned, return the one responsible for the vulnerable component - Normalize variations of the same vendor name - If no clear vendor is found, return ""Unknown"" - Use official vendor names where possible and keep the same name for vulnerabilities of the same vendor Format your response as follows: CWE ID: <CWE-ID number only> Explanation: <brief explanation of the vulnerability> Vendor: <vendor name> Cause: <cause of the vulnerability> Impact: <impact of the vulnerability><|eot_id|> CWE ID: 310",2009-06-15T19:30:05.733,,,nvd,google chrome before 1015453 displays a cached certificate for a 1 4xx or 2 5xx connect response page returned by a proxy server which allows maninthemiddle attackers to spoof an arbitrary https site by letting a browser obtain a valid certificate from this site during one request and th,"Google Chrome before 1.0.154.53 displays a cached certificate for a (1) 4xx or (2) 5xx CONNECT response page returned by a proxy server, which allows man-in-the-middle attackers to spoof an arbitrary https site by letting a browser obtain a valid certificate from this site during one request, and th",<brief explanation of the vulnerability> Vendor: <vendor name> Cause: <cause of the vulnerability> Impact: <impact of the vulnerability><|eot_id|> CWE ID: 310
CVE-2009-2121,Buffer overflow in the browser kernel in Google Chrome before 2.0.172.33 allows remote HTTP servers to cause a denial of service (application crash) or possibly execute arbitrary code via a crafted response.,Google Chrome Browser,CWE-120,<brief explanation of the vulnerability> Vendor: <vendor name> Cause: <cause of the vulnerability> Impact: <impact of the vulnerability><|eot_id|> CWE ID: 120,"and impact of the vulnerability. Provide the CWE ID (only the CWE ID of the vulnerability), a brief explanation, the vendor name, the cause of the vulnerability, and its impact. Description:  Buffer overflow in the browser kernel in Google Chrome before 2.0.172.33 allows remote HTTP servers to cause a denial of service (application crash) or possibly execute arbitrary code via a crafted response.  Rules for returning the vendor: - Return only the official/primary vendor name - For open source projects, return the organization maintaining it - If multiple vendors are mentioned, return the one responsible for the vulnerable component - Normalize variations of the same vendor name - If no clear vendor is found, return ""Unknown"" - Use official vendor names where possible and keep the same name for vulnerabilities of the same vendor Format your response as follows: CWE ID: <CWE-ID number only> Explanation: <brief explanation of the vulnerability> Vendor: <vendor name> Cause: <cause of the vulnerability> Impact: <impact of the vulnerability><|eot_id|> CWE ID: 120","of the vulnerability. Provide the CWE ID (only the CWE ID of the vulnerability), a brief explanation, the vendor name, the cause of the vulnerability, and its impact. Description:  Buffer overflow in the browser kernel in Google Chrome before 2.0.172.33 allows remote HTTP servers to cause a denial of service (application crash) or possibly execute arbitrary code via a crafted response.  Rules for returning the vendor: - Return only the official/primary vendor name - For open source projects, return the organization maintaining it - If multiple vendors are mentioned, return the one responsible for the vulnerable component - Normalize variations of the same vendor name - If no clear vendor is found, return ""Unknown"" - Use official vendor names where possible and keep the same name for vulnerabilities of the same vendor Format your response as follows: CWE ID: <CWE-ID number only> Explanation: <brief explanation of the vulnerability> Vendor: <vendor name> Cause: <cause of the vulnerability> Impact: <impact of the vulnerability><|eot_id|> CWE ID: 120",2009-06-23T21:30:00.250,,,nvd,buffer overflow in the browser kernel in google chrome before 2017233 allows remote http servers to cause a denial of service application crash or possibly execute arbitrary code via a crafted response,Buffer overflow in the browser kernel in Google Chrome before 2.0.172.33 allows remote HTTP servers to cause a denial of service (application crash) or possibly execute arbitrary code via a crafted response.,<brief explanation of the vulnerability> Vendor: <vendor name> Cause: <cause of the vulnerability> Impact: <impact of the vulnerability><|eot_id|> CWE ID: 120
CVE-2008-7246,"Google Chrome 0.2.149.29 and earlier allows remote attackers to cause a denial of service (unusable browser) by calling the window.print function in a loop, aka a ""printing DoS attack,"" possibly a related issue to CVE-2009-0821.",Google Chrome Browser,Unknown,<brief explanation of the vulnerability> Vendor: <vendor name> Cause: <cause of the vulnerability> Impact: <impact of the vulnerability><|eot_id|> CWE ID: 400,"and impact of the vulnerability. Provide the CWE ID (only the CWE ID of the vulnerability), a brief explanation, the vendor name, the cause of the vulnerability, and its impact. Description:  Google Chrome 0.2.149.29 and earlier allows remote attackers to cause a denial of service (unusable browser) by calling the window.print function in a loop, aka a ""printing DoS attack,"" possibly a related issue to CVE-2009-0821.  Rules for returning the vendor: - Return only the official/primary vendor name - For open source projects, return the organization maintaining it - If multiple vendors are mentioned, return the one responsible for the vulnerable component - Normalize variations of the same vendor name - If no clear vendor is found, return ""Unknown"" - Use official vendor names where possible and keep the same name for vulnerabilities of the same vendor Format your response as follows: CWE ID: <CWE-ID number only> Explanation: <brief explanation of the vulnerability> Vendor: <vendor name> Cause: <cause of the vulnerability> Impact: <impact of the vulnerability><|eot_id|> CWE ID: 400","of the vulnerability. Provide the CWE ID (only the CWE ID of the vulnerability), a brief explanation, the vendor name, the cause of the vulnerability, and its impact. Description:  Google Chrome 0.2.149.29 and earlier allows remote attackers to cause a denial of service (unusable browser) by calling the window.print function in a loop, aka a ""printing DoS attack,"" possibly a related issue to CVE-2009-0821.  Rules for returning the vendor: - Return only the official/primary vendor name - For open source projects, return the organization maintaining it - If multiple vendors are mentioned, return the one responsible for the vulnerable component - Normalize variations of the same vendor name - If no clear vendor is found, return ""Unknown"" - Use official vendor names where possible and keep the same name for vulnerabilities of the same vendor Format your response as follows: CWE ID: <CWE-ID number only> Explanation: <brief explanation of the vulnerability> Vendor: <vendor name> Cause: <cause of the vulnerability> Impact: <impact of the vulnerability><|eot_id|> CWE ID: 400",2009-09-18T22:30:00.483,,,nvd,google chrome 0214929 and earlier allows remote attackers to cause a denial of service unusable browser by calling the windowprint function in a loop aka a printing dos attack possibly a related issue to cve20090821,"Google Chrome 0.2.149.29 and earlier allows remote attackers to cause a denial of service (unusable browser) by calling the window.print function in a loop, aka a ""printing DoS attack,"" possibly a related issue to CVE-2009-0821.",<brief explanation of the vulnerability> Vendor: <vendor name> Cause: <cause of the vulnerability> Impact: <impact of the vulnerability><|eot_id|> CWE ID: 400
CVE-2009-3931,"Incomplete blacklist vulnerability in browser/download/download_exe.cc in Google Chrome before 3.0.195.32 allows remote attackers to force the download of certain dangerous files via a ""Content-Disposition: attachment"" designation, as demonstrated by (1) .mht and (2) .mhtml files, which are automati",Google Chrome Browser,Unknown,<brief explanation of the vulnerability> Vendor: <vendor name> Cause: <cause of the vulnerability> Impact: <impact of the vulnerability><|eot_id|> CWE ID: 502,"and impact of the vulnerability. Provide the CWE ID (only the CWE ID of the vulnerability), a brief explanation, the vendor name, the cause of the vulnerability, and its impact. Description:  Incomplete blacklist vulnerability in browser/download/download_exe.cc in Google Chrome before 3.0.195.32 allows remote attackers to force the download of certain dangerous files via a ""Content-Disposition: attachment"" designation, as demonstrated by (1) .mht and (2) .mhtml files, which are automati  Rules for returning the vendor: - Return only the official/primary vendor name - For open source projects, return the organization maintaining it - If multiple vendors are mentioned, return the one responsible for the vulnerable component - Normalize variations of the same vendor name - If no clear vendor is found, return ""Unknown"" - Use official vendor names where possible and keep the same name for vulnerabilities of the same vendor Format your response as follows: CWE ID: <CWE-ID number only> Explanation: <brief explanation of the vulnerability> Vendor: <vendor name> Cause: <cause of the vulnerability> Impact: <impact of the vulnerability><|eot_id|> CWE ID: 502","of the vulnerability. Provide the CWE ID (only the CWE ID of the vulnerability), a brief explanation, the vendor name, the cause of the vulnerability, and its impact. Description:  Incomplete blacklist vulnerability in browser/download/download_exe.cc in Google Chrome before 3.0.195.32 allows remote attackers to force the download of certain dangerous files via a ""Content-Disposition: attachment"" designation, as demonstrated by (1) .mht and (2) .mhtml files, which are automati  Rules for returning the vendor: - Return only the official/primary vendor name - For open source projects, return the organization maintaining it - If multiple vendors are mentioned, return the one responsible for the vulnerable component - Normalize variations of the same vendor name - If no clear vendor is found, return ""Unknown"" - Use official vendor names where possible and keep the same name for vulnerabilities of the same vendor Format your response as follows: CWE ID: <CWE-ID number only> Explanation: <brief explanation of the vulnerability> Vendor: <vendor name> Cause: <cause of the vulnerability> Impact: <impact of the vulnerability><|eot_id|> CWE ID: 502",2009-11-12T17:54:58.420,,,nvd,incomplete blacklist vulnerability in browserdownloaddownload_execc in google chrome before 3019532 allows remote attackers to force the download of certain dangerous files via a contentdisposition attachment designation as demonstrated by 1 mht and 2 mhtml files which are automati,"Incomplete blacklist vulnerability in browser/download/download_exe.cc in Google Chrome before 3.0.195.32 allows remote attackers to force the download of certain dangerous files via a ""Content-Disposition: attachment"" designation, as demonstrated by (1) .mht and (2) .mhtml files, which are automati",<brief explanation of the vulnerability> Vendor: <vendor name> Cause: <cause of the vulnerability> Impact: <impact of the vulnerability><|eot_id|> CWE ID: 502
CVE-2010-0556,"browser/login/login_prompt.cc in Google Chrome before 4.0.249.89 populates an authentication dialog with credentials that were stored by Password Manager for a different web site, which allows user-assisted remote HTTP servers to obtain sensitive information via a URL that requires authentication, a",Google Chrome Browser,CWE-312,"<brief explanation of the vulnerability> Vendor: <vendor name> Cause: <cause of the vulnerability> Impact: <impact of the vulnerability><|eot_id|> CWE ID: 312 Explanation: CWE-312 is a type of injection vulnerability where an attacker can manipulate a URL to cause the browser to authenticate with a different website than intended, potentially exposing stored credentials. Vendor: Google Cause: Google Chrome before 4.0.249.89 populated an authentication dialog with credentials stored by the Password Manager for a different website. Impact: User-assisted remote servers could obtain sensitive information through a URL that requires authentication.","and impact of the vulnerability. Provide the CWE ID (only the CWE ID of the vulnerability), a brief explanation, the vendor name, the cause of the vulnerability, and its impact. Description:  browser/login/login_prompt.cc in Google Chrome before 4.0.249.89 populates an authentication dialog with credentials that were stored by Password Manager for a different web site, which allows user-assisted remote HTTP servers to obtain sensitive information via a URL that requires authentication, a  Rules for returning the vendor: - Return only the official/primary vendor name - For open source projects, return the organization maintaining it - If multiple vendors are mentioned, return the one responsible for the vulnerable component - Normalize variations of the same vendor name - If no clear vendor is found, return ""Unknown"" - Use official vendor names where possible and keep the same name for vulnerabilities of the same vendor Format your response as follows: CWE ID: <CWE-ID number only> Explanation: <brief explanation of the vulnerability> Vendor: <vendor name> Cause: <cause of the vulnerability> Impact: <impact of the vulnerability><|eot_id|> CWE ID: 312 Explanation: CWE-312 is a type of injection vulnerability where an attacker can manipulate a URL to cause the browser to authenticate with a different website than intended, potentially exposing stored credentials. Vendor: Google Cause: Google Chrome before 4.0.249.89 populated an authentication dialog with credentials stored by the Password Manager for a different website. Impact: User-assisted remote servers could obtain sensitive information through a URL that requires authentication.","of the vulnerability. Provide the CWE ID (only the CWE ID of the vulnerability), a brief explanation, the vendor name, the cause of the vulnerability, and its impact. Description:  browser/login/login_prompt.cc in Google Chrome before 4.0.249.89 populates an authentication dialog with credentials that were stored by Password Manager for a different web site, which allows user-assisted remote HTTP servers to obtain sensitive information via a URL that requires authentication, a  Rules for returning the vendor: - Return only the official/primary vendor name - For open source projects, return the organization maintaining it - If multiple vendors are mentioned, return the one responsible for the vulnerable component - Normalize variations of the same vendor name - If no clear vendor is found, return ""Unknown"" - Use official vendor names where possible and keep the same name for vulnerabilities of the same vendor Format your response as follows: CWE ID: <CWE-ID number only> Explanation: <brief explanation of the vulnerability> Vendor: <vendor name> Cause: <cause of the vulnerability> Impact: <impact of the vulnerability><|eot_id|> CWE ID: 312 Explanation: CWE-312 is a type of injection vulnerability where an attacker can manipulate a URL to cause the browser to authenticate with a different website than intended, potentially exposing stored credentials. Vendor: Google Cause: Google Chrome before 4.0.249.89 populated an authentication dialog with credentials stored by the Password Manager for a different website. Impact: User-assisted remote servers could obtain sensitive information through a URL that requires authentication.",2010-02-18T17:30:00.583,,,nvd,browserloginlogin_promptcc in google chrome before 4024989 populates an authentication dialog with credentials that were stored by password manager for a different web site which allows userassisted remote http servers to obtain sensitive information via a url that requires authentication a,"browser/login/login_prompt.cc in Google Chrome before 4.0.249.89 populates an authentication dialog with credentials that were stored by Password Manager for a different web site, which allows user-assisted remote HTTP servers to obtain sensitive information via a URL that requires authentication, a","<brief explanation of the vulnerability> Vendor: <vendor name> Cause: <cause of the vulnerability> Impact: <impact of the vulnerability><|eot_id|> CWE ID: 312 Explanation: CWE-312 is a type of injection vulnerability where an attacker can manipulate a URL to cause the browser to authenticate with a different website than intended, potentially exposing stored credentials. Vendor: Google Cause: Google Chrome before 4.0.249.89 populated an authentication dialog with credentials stored by the Password Manager for a different website. Impact: User-assisted remote servers could obtain sensitive information through a URL that requires authentication."
CVE-2010-0664,Stack consumption vulnerability in the ChildProcessSecurityPolicy::CanRequestURL function in browser/child_process_security_policy.cc in Google Chrome before 4.0.249.78 allows remote attackers to cause a denial of service (memory consumption and application crash) via a URL that specifies multiple p,Google Chrome Browser,Unknown,<brief explanation of the vulnerability> Vendor: <vendor name> Cause: <cause of the vulnerability> Impact: <impact of the vulnerability><|eot_id|> CWE ID: 122,"and impact of the vulnerability. Provide the CWE ID (only the CWE ID of the vulnerability), a brief explanation, the vendor name, the cause of the vulnerability, and its impact. Description:  Stack consumption vulnerability in the ChildProcessSecurityPolicy::CanRequestURL function in browser/child_process_security_policy.cc in Google Chrome before 4.0.249.78 allows remote attackers to cause a denial of service (memory consumption and application crash) via a URL that specifies multiple p  Rules for returning the vendor: - Return only the official/primary vendor name - For open source projects, return the organization maintaining it - If multiple vendors are mentioned, return the one responsible for the vulnerable component - Normalize variations of the same vendor name - If no clear vendor is found, return ""Unknown"" - Use official vendor names where possible and keep the same name for vulnerabilities of the same vendor Format your response as follows: CWE ID: <CWE-ID number only> Explanation: <brief explanation of the vulnerability> Vendor: <vendor name> Cause: <cause of the vulnerability> Impact: <impact of the vulnerability><|eot_id|> CWE ID: 122","of the vulnerability. Provide the CWE ID (only the CWE ID of the vulnerability), a brief explanation, the vendor name, the cause of the vulnerability, and its impact. Description:  Stack consumption vulnerability in the ChildProcessSecurityPolicy::CanRequestURL function in browser/child_process_security_policy.cc in Google Chrome before 4.0.249.78 allows remote attackers to cause a denial of service (memory consumption and application crash) via a URL that specifies multiple p  Rules for returning the vendor: - Return only the official/primary vendor name - For open source projects, return the organization maintaining it - If multiple vendors are mentioned, return the one responsible for the vulnerable component - Normalize variations of the same vendor name - If no clear vendor is found, return ""Unknown"" - Use official vendor names where possible and keep the same name for vulnerabilities of the same vendor Format your response as follows: CWE ID: <CWE-ID number only> Explanation: <brief explanation of the vulnerability> Vendor: <vendor name> Cause: <cause of the vulnerability> Impact: <impact of the vulnerability><|eot_id|> CWE ID: 122",2010-02-18T18:00:01.130,,,nvd,stack consumption vulnerability in the childprocesssecuritypolicycanrequesturl function in browserchild_process_security_policycc in google chrome before 4024978 allows remote attackers to cause a denial of service memory consumption and application crash via a url that specifies multiple p,Stack consumption vulnerability in the ChildProcessSecurityPolicy::CanRequestURL function in browser/child_process_security_policy.cc in Google Chrome before 4.0.249.78 allows remote attackers to cause a denial of service (memory consumption and application crash) via a URL that specifies multiple p,<brief explanation of the vulnerability> Vendor: <vendor name> Cause: <cause of the vulnerability> Impact: <impact of the vulnerability><|eot_id|> CWE ID: 122
CVE-2010-1236,"The protocolIs function in platform/KURLGoogle.cpp in WebCore in WebKit before r55822, as used in Google Chrome before 4.1.249.1036 and Flock Browser 3.x before 3.0.0.4112, does not properly handle whitespace at the beginning of a URL, which allows remote attackers to conduct cross-site scripting (X",Google Chrome Browser,Unknown,<brief explanation of the vulnerability> Vendor: <vendor name> Cause: <cause of the vulnerability> Impact: <impact of the vulnerability><|eot_id|> CWE ID: 79,"and impact of the vulnerability. Provide the CWE ID (only the CWE ID of the vulnerability), a brief explanation, the vendor name, the cause of the vulnerability, and its impact. Description:  The protocolIs function in platform/KURLGoogle.cpp in WebCore in WebKit before r55822, as used in Google Chrome before 4.1.249.1036 and Flock Browser 3.x before 3.0.0.4112, does not properly handle whitespace at the beginning of a URL, which allows remote attackers to conduct cross-site scripting (X  Rules for returning the vendor: - Return only the official/primary vendor name - For open source projects, return the organization maintaining it - If multiple vendors are mentioned, return the one responsible for the vulnerable component - Normalize variations of the same vendor name - If no clear vendor is found, return ""Unknown"" - Use official vendor names where possible and keep the same name for vulnerabilities of the same vendor Format your response as follows: CWE ID: <CWE-ID number only> Explanation: <brief explanation of the vulnerability> Vendor: <vendor name> Cause: <cause of the vulnerability> Impact: <impact of the vulnerability><|eot_id|> CWE ID: 79","of the vulnerability. Provide the CWE ID (only the CWE ID of the vulnerability), a brief explanation, the vendor name, the cause of the vulnerability, and its impact. Description:  The protocolIs function in platform/KURLGoogle.cpp in WebCore in WebKit before r55822, as used in Google Chrome before 4.1.249.1036 and Flock Browser 3.x before 3.0.0.4112, does not properly handle whitespace at the beginning of a URL, which allows remote attackers to conduct cross-site scripting (X  Rules for returning the vendor: - Return only the official/primary vendor name - For open source projects, return the organization maintaining it - If multiple vendors are mentioned, return the one responsible for the vulnerable component - Normalize variations of the same vendor name - If no clear vendor is found, return ""Unknown"" - Use official vendor names where possible and keep the same name for vulnerabilities of the same vendor Format your response as follows: CWE ID: <CWE-ID number only> Explanation: <brief explanation of the vulnerability> Vendor: <vendor name> Cause: <cause of the vulnerability> Impact: <impact of the vulnerability><|eot_id|> CWE ID: 79",2010-04-01T22:30:00.750,,,nvd,the protocolis function in platformkurlgooglecpp in webcore in webkit before r55822 as used in google chrome before 412491036 and flock browser 3x before 3004112 does not properly handle whitespace at the beginning of a url which allows remote attackers to conduct crosssite scripting x,"The protocolIs function in platform/KURLGoogle.cpp in WebCore in WebKit before r55822, as used in Google Chrome before 4.1.249.1036 and Flock Browser 3.x before 3.0.0.4112, does not properly handle whitespace at the beginning of a URL, which allows remote attackers to conduct cross-site scripting (X",<brief explanation of the vulnerability> Vendor: <vendor name> Cause: <cause of the vulnerability> Impact: <impact of the vulnerability><|eot_id|> CWE ID: 79
CVE-2010-2298,"browser/renderer_host/database_dispatcher_host.cc in Google Chrome before 5.0.375.70 on Linux does not properly handle ViewHostMsg_DatabaseOpenFile messages in chroot-based sandboxing, which allows remote attackers to bypass intended sandbox restrictions via vectors involving fchdir and chdir calls.",Google Chrome Browser,CWE-264,<brief explanation of the vulnerability> Vendor: <vendor name> Cause: <cause of the vulnerability> Impact: <impact of the vulnerability><|eot_id|> CWE ID: CWE-264,"and impact of the vulnerability. Provide the CWE ID (only the CWE ID of the vulnerability), a brief explanation, the vendor name, the cause of the vulnerability, and its impact. Description:  browser/renderer_host/database_dispatcher_host.cc in Google Chrome before 5.0.375.70 on Linux does not properly handle ViewHostMsg_DatabaseOpenFile messages in chroot-based sandboxing, which allows remote attackers to bypass intended sandbox restrictions via vectors involving fchdir and chdir calls.  Rules for returning the vendor: - Return only the official/primary vendor name - For open source projects, return the organization maintaining it - If multiple vendors are mentioned, return the one responsible for the vulnerable component - Normalize variations of the same vendor name - If no clear vendor is found, return ""Unknown"" - Use official vendor names where possible and keep the same name for vulnerabilities of the same vendor Format your response as follows: CWE ID: <CWE-ID number only> Explanation: <brief explanation of the vulnerability> Vendor: <vendor name> Cause: <cause of the vulnerability> Impact: <impact of the vulnerability><|eot_id|> CWE ID: CWE-264","of the vulnerability. Provide the CWE ID (only the CWE ID of the vulnerability), a brief explanation, the vendor name, the cause of the vulnerability, and its impact. Description:  browser/renderer_host/database_dispatcher_host.cc in Google Chrome before 5.0.375.70 on Linux does not properly handle ViewHostMsg_DatabaseOpenFile messages in chroot-based sandboxing, which allows remote attackers to bypass intended sandbox restrictions via vectors involving fchdir and chdir calls.  Rules for returning the vendor: - Return only the official/primary vendor name - For open source projects, return the organization maintaining it - If multiple vendors are mentioned, return the one responsible for the vulnerable component - Normalize variations of the same vendor name - If no clear vendor is found, return ""Unknown"" - Use official vendor names where possible and keep the same name for vulnerabilities of the same vendor Format your response as follows: CWE ID: <CWE-ID number only> Explanation: <brief explanation of the vulnerability> Vendor: <vendor name> Cause: <cause of the vulnerability> Impact: <impact of the vulnerability><|eot_id|> CWE ID: CWE-264",2010-06-15T18:00:02.187,,,nvd,browserrenderer_hostdatabase_dispatcher_hostcc in google chrome before 5037570 on linux does not properly handle viewhostmsg_databaseopenfile messages in chrootbased sandboxing which allows remote attackers to bypass intended sandbox restrictions via vectors involving fchdir and chdir calls,"browser/renderer_host/database_dispatcher_host.cc in Google Chrome before 5.0.375.70 on Linux does not properly handle ViewHostMsg_DatabaseOpenFile messages in chroot-based sandboxing, which allows remote attackers to bypass intended sandbox restrictions via vectors involving fchdir and chdir calls.",<brief explanation of the vulnerability> Vendor: <vendor name> Cause: <cause of the vulnerability> Impact: <impact of the vulnerability><|eot_id|> CWE ID: CWE-264
CVE-2010-4575,"The ThemeInstalledInfoBarDelegate::Observe function in browser/extensions/theme_installed_infobar_delegate.cc in Google Chrome before 8.0.552.224 and Chrome OS before 8.0.552.343 does not properly handle incorrect tab interaction by an extension, which allows user-assisted remote attackers to cause ",Google Chrome Browser,Unknown,<brief explanation of the vulnerability> Vendor: <vendor name> Cause: <cause of the vulnerability> Impact: <impact of the vulnerability><|eot_id|> CWE ID: 20,"and impact of the vulnerability. Provide the CWE ID (only the CWE ID of the vulnerability), a brief explanation, the vendor name, the cause of the vulnerability, and its impact. Description:  The ThemeInstalledInfoBarDelegate::Observe function in browser/extensions/theme_installed_infobar_delegate.cc in Google Chrome before 8.0.552.224 and Chrome OS before 8.0.552.343 does not properly handle incorrect tab interaction by an extension, which allows user-assisted remote attackers to cause  Rules for returning the vendor: - Return only the official/primary vendor name - For open source projects, return the organization maintaining it - If multiple vendors are mentioned, return the one responsible for the vulnerable component - Normalize variations of the same vendor name - If no clear vendor is found, return ""Unknown"" - Use official vendor names where possible and keep the same name for vulnerabilities of the same vendor Format your response as follows: CWE ID: <CWE-ID number only> Explanation: <brief explanation of the vulnerability> Vendor: <vendor name> Cause: <cause of the vulnerability> Impact: <impact of the vulnerability><|eot_id|> CWE ID: 20","of the vulnerability. Provide the CWE ID (only the CWE ID of the vulnerability), a brief explanation, the vendor name, the cause of the vulnerability, and its impact. Description:  The ThemeInstalledInfoBarDelegate::Observe function in browser/extensions/theme_installed_infobar_delegate.cc in Google Chrome before 8.0.552.224 and Chrome OS before 8.0.552.343 does not properly handle incorrect tab interaction by an extension, which allows user-assisted remote attackers to cause  Rules for returning the vendor: - Return only the official/primary vendor name - For open source projects, return the organization maintaining it - If multiple vendors are mentioned, return the one responsible for the vulnerable component - Normalize variations of the same vendor name - If no clear vendor is found, return ""Unknown"" - Use official vendor names where possible and keep the same name for vulnerabilities of the same vendor Format your response as follows: CWE ID: <CWE-ID number only> Explanation: <brief explanation of the vulnerability> Vendor: <vendor name> Cause: <cause of the vulnerability> Impact: <impact of the vulnerability><|eot_id|> CWE ID: 20",2010-12-22T01:00:03.063,,,nvd,the themeinstalledinfobardelegateobserve function in browserextensionstheme_installed_infobar_delegatecc in google chrome before 80552224 and chrome os before 80552343 does not properly handle incorrect tab interaction by an extension which allows userassisted remote attackers to cause,"The ThemeInstalledInfoBarDelegate::Observe function in browser/extensions/theme_installed_infobar_delegate.cc in Google Chrome before 8.0.552.224 and Chrome OS before 8.0.552.343 does not properly handle incorrect tab interaction by an extension, which allows user-assisted remote attackers to cause ",<brief explanation of the vulnerability> Vendor: <vendor name> Cause: <cause of the vulnerability> Impact: <impact of the vulnerability><|eot_id|> CWE ID: 20
