id,description,vendor,cwe_category,cwe_explanation,cause,impact,published,cvss_score,severity,source,description_without_punct,description_normalized,explanation
6C28176D6745BA75C7D14C81D30D131282134D1D90EB73263EADD6F0580C8B56,"## Summary

IBM Integration Bus for z/OS is vulnerable to memory leaking, segmentation fault or heap-use-after-free due to Eclipse Mosquitto.

## Vulnerability Details

**CVEID:**CVE-2024-8376  
**DESCRIPTION:** In Eclipse Mosquitto up to version 2.0.18a, an attacker can achieve memory leaking, segm",Eclipse Mosquitto,Unknown,<brief explanation of the vulnerability> Vendor: <vendor name> Cause: <cause of the vulnerability> Impact: <impact of the vulnerability><|eot_id|> CWE ID: 416,"and impact of the vulnerability. Provide the CWE ID (only the CWE ID of the vulnerability), a brief explanation, the vendor name, the cause of the vulnerability, and its impact. Description:  ## Summary IBM Integration Bus for z/OS is vulnerable to memory leaking, segmentation fault or heap-use-after-free due to Eclipse Mosquitto. ## Vulnerability Details **CVEID:**CVE-2024-8376 **DESCRIPTION:** In Eclipse Mosquitto up to version 2.0.18a, an attacker can achieve memory leaking, segm  Rules for returning the vendor: - Return only the official/primary vendor name - For open source projects, return the organization maintaining it - If multiple vendors are mentioned, return the one responsible for the vulnerable component - Normalize variations of the same vendor name - If no clear vendor is found, return ""Unknown"" - Use official vendor names where possible and keep the same name for vulnerabilities of the same vendor Format your response as follows: CWE ID: <CWE-ID number only> Explanation: <brief explanation of the vulnerability> Vendor: <vendor name> Cause: <cause of the vulnerability> Impact: <impact of the vulnerability><|eot_id|> CWE ID: 416","of the vulnerability. Provide the CWE ID (only the CWE ID of the vulnerability), a brief explanation, the vendor name, the cause of the vulnerability, and its impact. Description:  ## Summary IBM Integration Bus for z/OS is vulnerable to memory leaking, segmentation fault or heap-use-after-free due to Eclipse Mosquitto. ## Vulnerability Details **CVEID:**CVE-2024-8376 **DESCRIPTION:** In Eclipse Mosquitto up to version 2.0.18a, an attacker can achieve memory leaking, segm  Rules for returning the vendor: - Return only the official/primary vendor name - For open source projects, return the organization maintaining it - If multiple vendors are mentioned, return the one responsible for the vulnerable component - Normalize variations of the same vendor name - If no clear vendor is found, return ""Unknown"" - Use official vendor names where possible and keep the same name for vulnerabilities of the same vendor Format your response as follows: CWE ID: <CWE-ID number only> Explanation: <brief explanation of the vulnerability> Vendor: <vendor name> Cause: <cause of the vulnerability> Impact: <impact of the vulnerability><|eot_id|> CWE ID: 416",2025-01-28 22:08:51,7.2,HIGH,vulners," summary

ibm integration bus for zos is vulnerable to memory leaking segmentation fault or heapuseafterfree due to eclipse mosquitto

 vulnerability details

cveidcve20248376  
description in eclipse mosquitto up to version 2018a an attacker can achieve memory leaking segm","## Summary

IBM Integration Bus for z/OS is vulnerable to memory leaking, segmentation fault or heap-use-after-free due to Eclipse Mosquitto.

## Vulnerability Details

**CVEID:**CVE-2024-8376  
**DESCRIPTION:** In Eclipse Mosquitto up to version 2.0.18a, an attacker can achieve memory leaking, segm",<brief explanation of the vulnerability> Vendor: <vendor name> Cause: <cause of the vulnerability> Impact: <impact of the vulnerability><|eot_id|> CWE ID: 416
ROSA-SA-2025-2633,"software: mosquitto 2.0.15
WASP: ROSA-CHROME

package_evr_string: mosquitto-2.0.15

CVE-ID: CVE-2023-0809
BDU-ID: 2024-04210
CVE-Crit: MEDIUM
CVE-DESC.: A vulnerability in the CONNECT component of the Eclipse Mosquitto message broker is related to memory allocation based on an unreliable value of la",Eclipse Mosquitto,Unknown,<brief explanation of the vulnerability> Vendor: <vendor name> Cause: <cause of the vulnerability> Impact: <impact of the vulnerability><|eot_id|> CWE ID: 122,"and impact of the vulnerability. Provide the CWE ID (only the CWE ID of the vulnerability), a brief explanation, the vendor name, the cause of the vulnerability, and its impact. Description:  software: mosquitto 2.0.15","of the vulnerability. Provide the CWE ID (only the CWE ID of the vulnerability), a brief explanation, the vendor name, the cause of the vulnerability, and its impact. Description:  software: mosquitto 2.0.15",2025-01-28 18:35:58,7.5,HIGH,vulners,"software mosquitto 2015
wasp rosachrome

package_evr_string mosquitto2015

cveid cve20230809
bduid 202404210
cvecrit medium
cvedesc a vulnerability in the connect component of the eclipse mosquitto message broker is related to memory allocation based on an unreliable value of la","software: mosquitto 2.0.15
WASP: ROSA-CHROME

package_evr_string: mosquitto-2.0.15

CVE-ID: CVE-2023-0809
BDU-ID: 2024-04210
CVE-Crit: MEDIUM
CVE-DESC.: A vulnerability in the CONNECT component of the Eclipse Mosquitto message broker is related to memory allocation based on an unreliable value of la",<brief explanation of the vulnerability> Vendor: <vendor name> Cause: <cause of the vulnerability> Impact: <impact of the vulnerability><|eot_id|> CWE ID: 122
OSV:RHSA-2024:8906,Bulletin has no description,Eclipse Mosquitto,Unknown,<brief explanation of the vulnerability> Vendor: <vendor name> Cause: <cause of the vulnerability> Impact: <impact of the vulnerability><|eot_id|> CWE ID: 200,"and impact of the vulnerability. Provide the CWE ID (only the CWE ID of the vulnerability), a brief explanation, the vendor name, the cause of the vulnerability, and its impact. Description:  Bulletin has no description  Rules for returning the vendor: - Return only the official/primary vendor name - For open source projects, return the organization maintaining it - If multiple vendors are mentioned, return the one responsible for the vulnerable component - Normalize variations of the same vendor name - If no clear vendor is found, return ""Unknown"" - Use official vendor names where possible and keep the same name for vulnerabilities of the same vendor Format your response as follows: CWE ID: <CWE-ID number only> Explanation: <brief explanation of the vulnerability> Vendor: <vendor name> Cause: <cause of the vulnerability> Impact: <impact of the vulnerability><|eot_id|> CWE ID: 200","of the vulnerability. Provide the CWE ID (only the CWE ID of the vulnerability), a brief explanation, the vendor name, the cause of the vulnerability, and its impact. Description:  Bulletin has no description  Rules for returning the vendor: - Return only the official/primary vendor name - For open source projects, return the organization maintaining it - If multiple vendors are mentioned, return the one responsible for the vulnerable component - Normalize variations of the same vendor name - If no clear vendor is found, return ""Unknown"" - Use official vendor names where possible and keep the same name for vulnerabilities of the same vendor Format your response as follows: CWE ID: <CWE-ID number only> Explanation: <brief explanation of the vulnerability> Vendor: <vendor name> Cause: <cause of the vulnerability> Impact: <impact of the vulnerability><|eot_id|> CWE ID: 200",2024-11-13 21:18:51,7.2,HIGH,vulners,bulletin has no description,Bulletin has no description,<brief explanation of the vulnerability> Vendor: <vendor name> Cause: <cause of the vulnerability> Impact: <impact of the vulnerability><|eot_id|> CWE ID: 200
DEBIAN:BSA-120:CF05C,"Philippe Coval uploaded new packages for mosquitto which fixed the
following security problems:

CVE-2024-8376

In Eclipse Mosquitto up to version 2.0.18a, an attacker can achieve
memory leaking, segmentation fault or heap-use-after-free by sending
specific sequences of &quot;CONNECT&quot;, &quot;DI",Eclipse Mosquitto,Unknown,<brief explanation of the vulnerability> Vendor: <vendor name> Cause: <cause of the vulnerability> Impact: <impact of the vulnerability><|eot_id|> CWE ID: 416,"and impact of the vulnerability. Provide the CWE ID (only the CWE ID of the vulnerability), a brief explanation, the vendor name, the cause of the vulnerability, and its impact. Description:  Philippe Coval uploaded new packages for mosquitto which fixed the following security problems: CVE-2024-8376 In Eclipse Mosquitto up to version 2.0.18a, an attacker can achieve memory leaking, segmentation fault or heap-use-after-free by sending specific sequences of &quot;CONNECT&quot;, &quot;DI  Rules for returning the vendor: - Return only the official/primary vendor name - For open source projects, return the organization maintaining it - If multiple vendors are mentioned, return the one responsible for the vulnerable component - Normalize variations of the same vendor name - If no clear vendor is found, return ""Unknown"" - Use official vendor names where possible and keep the same name for vulnerabilities of the same vendor Format your response as follows: CWE ID: <CWE-ID number only> Explanation: <brief explanation of the vulnerability> Vendor: <vendor name> Cause: <cause of the vulnerability> Impact: <impact of the vulnerability><|eot_id|> CWE ID: 416","of the vulnerability. Provide the CWE ID (only the CWE ID of the vulnerability), a brief explanation, the vendor name, the cause of the vulnerability, and its impact. Description:  Philippe Coval uploaded new packages for mosquitto which fixed the following security problems: CVE-2024-8376 In Eclipse Mosquitto up to version 2.0.18a, an attacker can achieve memory leaking, segmentation fault or heap-use-after-free by sending specific sequences of &quot;CONNECT&quot;, &quot;DI  Rules for returning the vendor: - Return only the official/primary vendor name - For open source projects, return the organization maintaining it - If multiple vendors are mentioned, return the one responsible for the vulnerable component - Normalize variations of the same vendor name - If no clear vendor is found, return ""Unknown"" - Use official vendor names where possible and keep the same name for vulnerabilities of the same vendor Format your response as follows: CWE ID: <CWE-ID number only> Explanation: <brief explanation of the vulnerability> Vendor: <vendor name> Cause: <cause of the vulnerability> Impact: <impact of the vulnerability><|eot_id|> CWE ID: 416",2024-11-12 08:01:17,7.2,HIGH,vulners,"philippe coval uploaded new packages for mosquitto which fixed the
following security problems

cve20248376

in eclipse mosquitto up to version 2018a an attacker can achieve
memory leaking segmentation fault or heapuseafterfree by sending
specific sequences of quotconnectquot quotdi","Philippe Coval uploaded new packages for mosquitto which fixed the
following security problems:

CVE-2024-8376

In Eclipse Mosquitto up to version 2.0.18a, an attacker can achieve
memory leaking, segmentation fault or heap-use-after-free by sending
specific sequences of &quot;CONNECT&quot;, &quot;DI",<brief explanation of the vulnerability> Vendor: <vendor name> Cause: <cause of the vulnerability> Impact: <impact of the vulnerability><|eot_id|> CWE ID: 416
ROS-20241112-07,"Eclipse Mosquitto message broker vulnerability is related to a heap buffer overflow when executing a
on_subscribe callback. Exploitation of the vulnerability could allow an attacker acting
remotely to gain access to sensitive information

The Eclipse Mosquitto message broker vulnerability is related",Eclipse Mosquitto,Unknown,<brief explanation of the vulnerability> Vendor: <vendor name> Cause: <cause of the vulnerability> Impact: <impact of the vulnerability><|eot_id|> CWE ID: 120,"and impact of the vulnerability. Provide the CWE ID (only the CWE ID of the vulnerability), a brief explanation, the vendor name, the cause of the vulnerability, and its impact. Description:  Eclipse Mosquitto message broker vulnerability is related to a heap buffer overflow when executing a on_subscribe callback. Exploitation of the vulnerability could allow an attacker acting remotely to gain access to sensitive information The Eclipse Mosquitto message broker vulnerability is related  Rules for returning the vendor: - Return only the official/primary vendor name - For open source projects, return the organization maintaining it - If multiple vendors are mentioned, return the one responsible for the vulnerable component - Normalize variations of the same vendor name - If no clear vendor is found, return ""Unknown"" - Use official vendor names where possible and keep the same name for vulnerabilities of the same vendor Format your response as follows: CWE ID: <CWE-ID number only> Explanation: <brief explanation of the vulnerability> Vendor: <vendor name> Cause: <cause of the vulnerability> Impact: <impact of the vulnerability><|eot_id|> CWE ID: 120","of the vulnerability. Provide the CWE ID (only the CWE ID of the vulnerability), a brief explanation, the vendor name, the cause of the vulnerability, and its impact. Description:  Eclipse Mosquitto message broker vulnerability is related to a heap buffer overflow when executing a on_subscribe callback. Exploitation of the vulnerability could allow an attacker acting remotely to gain access to sensitive information The Eclipse Mosquitto message broker vulnerability is related  Rules for returning the vendor: - Return only the official/primary vendor name - For open source projects, return the organization maintaining it - If multiple vendors are mentioned, return the one responsible for the vulnerable component - Normalize variations of the same vendor name - If no clear vendor is found, return ""Unknown"" - Use official vendor names where possible and keep the same name for vulnerabilities of the same vendor Format your response as follows: CWE ID: <CWE-ID number only> Explanation: <brief explanation of the vulnerability> Vendor: <vendor name> Cause: <cause of the vulnerability> Impact: <impact of the vulnerability><|eot_id|> CWE ID: 120",2024-11-12 00:00:00,7.2,HIGH,vulners,"eclipse mosquitto message broker vulnerability is related to a heap buffer overflow when executing a
on_subscribe callback exploitation of the vulnerability could allow an attacker acting
remotely to gain access to sensitive information

the eclipse mosquitto message broker vulnerability is related","Eclipse Mosquitto message broker vulnerability is related to a heap buffer overflow when executing a
on_subscribe callback. Exploitation of the vulnerability could allow an attacker acting
remotely to gain access to sensitive information

The Eclipse Mosquitto message broker vulnerability is related",<brief explanation of the vulnerability> Vendor: <vendor name> Cause: <cause of the vulnerability> Impact: <impact of the vulnerability><|eot_id|> CWE ID: 120
OSV:RHSA-2024:8718,Bulletin has no description,Eclipse Mosquitto,Unknown,<brief explanation of the vulnerability> Vendor: <vendor name> Cause: <cause of the vulnerability> Impact: <impact of the vulnerability><|eot_id|> CWE ID: 0 Explanation: The provided description is incomplete and lacks sufficient information to accurately categorize the vulnerability. More details about the vulnerability are needed to determine the correct CWE ID and provide a proper analysis. Vendor: Unknown Cause: Insufficient information is available to determine the cause of the vulnerability. Impact: The impact of the vulnerability cannot be assessed without more details about its nature and potential consequences.,"and impact of the vulnerability. Provide the CWE ID (only the CWE ID of the vulnerability), a brief explanation, the vendor name, the cause of the vulnerability, and its impact. Description:  Bulletin has no description  Rules for returning the vendor: - Return only the official/primary vendor name - For open source projects, return the organization maintaining it - If multiple vendors are mentioned, return the one responsible for the vulnerable component - Normalize variations of the same vendor name - If no clear vendor is found, return ""Unknown"" - Use official vendor names where possible and keep the same name for vulnerabilities of the same vendor Format your response as follows: CWE ID: <CWE-ID number only> Explanation: <brief explanation of the vulnerability> Vendor: <vendor name> Cause: <cause of the vulnerability> Impact: <impact of the vulnerability><|eot_id|> CWE ID: 0 Explanation: The provided description is incomplete and lacks sufficient information to accurately categorize the vulnerability. More details about the vulnerability are needed to determine the correct CWE ID and provide a proper analysis. Vendor: Unknown Cause: Insufficient information is available to determine the cause of the vulnerability. Impact: The impact of the vulnerability cannot be assessed without more details about its nature and potential consequences.","of the vulnerability. Provide the CWE ID (only the CWE ID of the vulnerability), a brief explanation, the vendor name, the cause of the vulnerability, and its impact. Description:  Bulletin has no description  Rules for returning the vendor: - Return only the official/primary vendor name - For open source projects, return the organization maintaining it - If multiple vendors are mentioned, return the one responsible for the vulnerable component - Normalize variations of the same vendor name - If no clear vendor is found, return ""Unknown"" - Use official vendor names where possible and keep the same name for vulnerabilities of the same vendor Format your response as follows: CWE ID: <CWE-ID number only> Explanation: <brief explanation of the vulnerability> Vendor: <vendor name> Cause: <cause of the vulnerability> Impact: <impact of the vulnerability><|eot_id|> CWE ID: 0 Explanation: The provided description is incomplete and lacks sufficient information to accurately categorize the vulnerability. More details about the vulnerability are needed to determine the correct CWE ID and provide a proper analysis. Vendor: Unknown Cause: Insufficient information is available to determine the cause of the vulnerability. Impact: The impact of the vulnerability cannot be assessed without more details about its nature and potential consequences.",2024-11-06 14:07:21,7.2,HIGH,vulners,bulletin has no description,Bulletin has no description,<brief explanation of the vulnerability> Vendor: <vendor name> Cause: <cause of the vulnerability> Impact: <impact of the vulnerability><|eot_id|> CWE ID: 0 Explanation: The provided description is incomplete and lacks sufficient information to accurately categorize the vulnerability. More details about the vulnerability are needed to determine the correct CWE ID and provide a proper analysis. Vendor: Unknown Cause: Insufficient information is available to determine the cause of the vulnerability. Impact: The impact of the vulnerability cannot be assessed without more details about its nature and potential consequences.
OSV:RHSA-2024:8719,Bulletin has no description,Eclipse Mosquitto,Unknown,<brief explanation of the vulnerability> Vendor: <vendor name> Cause: <cause of the vulnerability> Impact: <impact of the vulnerability><|eot_id|> CWE ID: 0,"and impact of the vulnerability. Provide the CWE ID (only the CWE ID of the vulnerability), a brief explanation, the vendor name, the cause of the vulnerability, and its impact. Description:  Bulletin has no description  Rules for returning the vendor: - Return only the official/primary vendor name - For open source projects, return the organization maintaining it - If multiple vendors are mentioned, return the one responsible for the vulnerable component - Normalize variations of the same vendor name - If no clear vendor is found, return ""Unknown"" - Use official vendor names where possible and keep the same name for vulnerabilities of the same vendor Format your response as follows: CWE ID: <CWE-ID number only> Explanation: <brief explanation of the vulnerability> Vendor: <vendor name> Cause: <cause of the vulnerability> Impact: <impact of the vulnerability><|eot_id|> CWE ID: 0","of the vulnerability. Provide the CWE ID (only the CWE ID of the vulnerability), a brief explanation, the vendor name, the cause of the vulnerability, and its impact. Description:  Bulletin has no description  Rules for returning the vendor: - Return only the official/primary vendor name - For open source projects, return the organization maintaining it - If multiple vendors are mentioned, return the one responsible for the vulnerable component - Normalize variations of the same vendor name - If no clear vendor is found, return ""Unknown"" - Use official vendor names where possible and keep the same name for vulnerabilities of the same vendor Format your response as follows: CWE ID: <CWE-ID number only> Explanation: <brief explanation of the vulnerability> Vendor: <vendor name> Cause: <cause of the vulnerability> Impact: <impact of the vulnerability><|eot_id|> CWE ID: 0",2024-11-06 14:07:11,7.2,HIGH,vulners,bulletin has no description,Bulletin has no description,<brief explanation of the vulnerability> Vendor: <vendor name> Cause: <cause of the vulnerability> Impact: <impact of the vulnerability><|eot_id|> CWE ID: 0
RH:CVE-2024-10525,"A flaw was found in Eclipse Mosquitto. If a malicious broker sends a specially crafted packet, it may trigger a buffer overflow condition in a client using libmosquitto. This issue can lead to an application crash or, in some circumstances, arbitrary code execution.
",Eclipse Mosquitto,CWE-120,<brief explanation of the vulnerability> Vendor: <vendor name> Cause: <cause of the vulnerability> Impact: <impact of the vulnerability><|eot_id|> CWE ID: CWE-120,"and impact of the vulnerability. Provide the CWE ID (only the CWE ID of the vulnerability), a brief explanation, the vendor name, the cause of the vulnerability, and its impact. Description:  A flaw was found in Eclipse Mosquitto. If a malicious broker sends a specially crafted packet, it may trigger a buffer overflow condition in a client using libmosquitto. This issue can lead to an application crash or, in some circumstances, arbitrary code execution.  Rules for returning the vendor: - Return only the official/primary vendor name - For open source projects, return the organization maintaining it - If multiple vendors are mentioned, return the one responsible for the vulnerable component - Normalize variations of the same vendor name - If no clear vendor is found, return ""Unknown"" - Use official vendor names where possible and keep the same name for vulnerabilities of the same vendor Format your response as follows: CWE ID: <CWE-ID number only> Explanation: <brief explanation of the vulnerability> Vendor: <vendor name> Cause: <cause of the vulnerability> Impact: <impact of the vulnerability><|eot_id|> CWE ID: CWE-120","of the vulnerability. Provide the CWE ID (only the CWE ID of the vulnerability), a brief explanation, the vendor name, the cause of the vulnerability, and its impact. Description:  A flaw was found in Eclipse Mosquitto. If a malicious broker sends a specially crafted packet, it may trigger a buffer overflow condition in a client using libmosquitto. This issue can lead to an application crash or, in some circumstances, arbitrary code execution.  Rules for returning the vendor: - Return only the official/primary vendor name - For open source projects, return the organization maintaining it - If multiple vendors are mentioned, return the one responsible for the vulnerable component - Normalize variations of the same vendor name - If no clear vendor is found, return ""Unknown"" - Use official vendor names where possible and keep the same name for vulnerabilities of the same vendor Format your response as follows: CWE ID: <CWE-ID number only> Explanation: <brief explanation of the vulnerability> Vendor: <vendor name> Cause: <cause of the vulnerability> Impact: <impact of the vulnerability><|eot_id|> CWE ID: CWE-120",2024-10-30 19:58:15,7.6,HIGH,vulners,"a flaw was found in eclipse mosquitto if a malicious broker sends a specially crafted packet it may trigger a buffer overflow condition in a client using libmosquitto this issue can lead to an application crash or in some circumstances arbitrary code execution
","A flaw was found in Eclipse Mosquitto. If a malicious broker sends a specially crafted packet, it may trigger a buffer overflow condition in a client using libmosquitto. This issue can lead to an application crash or, in some circumstances, arbitrary code execution.
",<brief explanation of the vulnerability> Vendor: <vendor name> Cause: <cause of the vulnerability> Impact: <impact of the vulnerability><|eot_id|> CWE ID: CWE-120
DEBIANCVE:CVE-2024-3935,"In Eclipse Mosquito, versions from 2.0.0 through 2.0.18, if a Mosquitto broker is configured to create an outgoing bridge connection, and that bridge connection has an incoming topic configured that makes use of topic remapping, then if the remote connection sends a crafted PUBLISH packet to the bro",Eclipse Mosquitto,Unknown,"<brief explanation of the vulnerability> Vendor: <vendor name> Cause: <cause of the vulnerability> Impact: <impact of the vulnerability><|eot_id|> CWE ID: 120 Explanation: The vulnerability allows an attacker to send crafted packets that can bypass topic remapping rules in a Mosquitto MQTT broker with an outgoing bridge connection configured. Vendor: Eclipse Cause: Configuration of outgoing bridge connection with topic remapping allows crafted packets to bypass security checks. Impact: Remote code execution, unauthorized access, data leakage, and denial of service.","and impact of the vulnerability. Provide the CWE ID (only the CWE ID of the vulnerability), a brief explanation, the vendor name, the cause of the vulnerability, and its impact. Description:  In Eclipse Mosquito, versions from 2.0.0 through 2.0.18, if a Mosquitto broker is configured to create an outgoing bridge connection, and that bridge connection has an incoming topic configured that makes use of topic remapping, then if the remote connection sends a crafted PUBLISH packet to the bro  Rules for returning the vendor: - Return only the official/primary vendor name - For open source projects, return the organization maintaining it - If multiple vendors are mentioned, return the one responsible for the vulnerable component - Normalize variations of the same vendor name - If no clear vendor is found, return ""Unknown"" - Use official vendor names where possible and keep the same name for vulnerabilities of the same vendor Format your response as follows: CWE ID: <CWE-ID number only> Explanation: <brief explanation of the vulnerability> Vendor: <vendor name> Cause: <cause of the vulnerability> Impact: <impact of the vulnerability><|eot_id|> CWE ID: 120 Explanation: The vulnerability allows an attacker to send crafted packets that can bypass topic remapping rules in a Mosquitto MQTT broker with an outgoing bridge connection configured. Vendor: Eclipse Cause: Configuration of outgoing bridge connection with topic remapping allows crafted packets to bypass security checks. Impact: Remote code execution, unauthorized access, data leakage, and denial of service.","of the vulnerability. Provide the CWE ID (only the CWE ID of the vulnerability), a brief explanation, the vendor name, the cause of the vulnerability, and its impact. Description:  In Eclipse Mosquito, versions from 2.0.0 through 2.0.18, if a Mosquitto broker is configured to create an outgoing bridge connection, and that bridge connection has an incoming topic configured that makes use of topic remapping, then if the remote connection sends a crafted PUBLISH packet to the bro  Rules for returning the vendor: - Return only the official/primary vendor name - For open source projects, return the organization maintaining it - If multiple vendors are mentioned, return the one responsible for the vulnerable component - Normalize variations of the same vendor name - If no clear vendor is found, return ""Unknown"" - Use official vendor names where possible and keep the same name for vulnerabilities of the same vendor Format your response as follows: CWE ID: <CWE-ID number only> Explanation: <brief explanation of the vulnerability> Vendor: <vendor name> Cause: <cause of the vulnerability> Impact: <impact of the vulnerability><|eot_id|> CWE ID: 120 Explanation: The vulnerability allows an attacker to send crafted packets that can bypass topic remapping rules in a Mosquitto MQTT broker with an outgoing bridge connection configured. Vendor: Eclipse Cause: Configuration of outgoing bridge connection with topic remapping allows crafted packets to bypass security checks. Impact: Remote code execution, unauthorized access, data leakage, and denial of service.",2024-10-30 12:15:03,6.0,MEDIUM,vulners,in eclipse mosquito versions from 200 through 2018 if a mosquitto broker is configured to create an outgoing bridge connection and that bridge connection has an incoming topic configured that makes use of topic remapping then if the remote connection sends a crafted publish packet to the bro,"In Eclipse Mosquito, versions from 2.0.0 through 2.0.18, if a Mosquitto broker is configured to create an outgoing bridge connection, and that bridge connection has an incoming topic configured that makes use of topic remapping, then if the remote connection sends a crafted PUBLISH packet to the bro","<brief explanation of the vulnerability> Vendor: <vendor name> Cause: <cause of the vulnerability> Impact: <impact of the vulnerability><|eot_id|> CWE ID: 120 Explanation: The vulnerability allows an attacker to send crafted packets that can bypass topic remapping rules in a Mosquitto MQTT broker with an outgoing bridge connection configured. Vendor: Eclipse Cause: Configuration of outgoing bridge connection with topic remapping allows crafted packets to bypass security checks. Impact: Remote code execution, unauthorized access, data leakage, and denial of service."
OSV:CVE-2024-3935,"In Eclipse Mosquito, versions from 2.0.0 through 2.0.18, if a Mosquitto broker is configured to create an outgoing bridge connection, and that bridge connection has an incoming topic configured that makes use of topic remapping, then if the remote connection sends a crafted PUBLISH packet to the bro",Eclipse Mosquitto,Unknown,<brief explanation of the vulnerability> Vendor: <vendor name> Cause: <cause of the vulnerability> Impact: <impact of the vulnerability><|eot_id|> CWE ID: 476,"and impact of the vulnerability. Provide the CWE ID (only the CWE ID of the vulnerability), a brief explanation, the vendor name, the cause of the vulnerability, and its impact. Description:  In Eclipse Mosquito, versions from 2.0.0 through 2.0.18, if a Mosquitto broker is configured to create an outgoing bridge connection, and that bridge connection has an incoming topic configured that makes use of topic remapping, then if the remote connection sends a crafted PUBLISH packet to the bro  Rules for returning the vendor: - Return only the official/primary vendor name - For open source projects, return the organization maintaining it - If multiple vendors are mentioned, return the one responsible for the vulnerable component - Normalize variations of the same vendor name - If no clear vendor is found, return ""Unknown"" - Use official vendor names where possible and keep the same name for vulnerabilities of the same vendor Format your response as follows: CWE ID: <CWE-ID number only> Explanation: <brief explanation of the vulnerability> Vendor: <vendor name> Cause: <cause of the vulnerability> Impact: <impact of the vulnerability><|eot_id|> CWE ID: 476","of the vulnerability. Provide the CWE ID (only the CWE ID of the vulnerability), a brief explanation, the vendor name, the cause of the vulnerability, and its impact. Description:  In Eclipse Mosquito, versions from 2.0.0 through 2.0.18, if a Mosquitto broker is configured to create an outgoing bridge connection, and that bridge connection has an incoming topic configured that makes use of topic remapping, then if the remote connection sends a crafted PUBLISH packet to the bro  Rules for returning the vendor: - Return only the official/primary vendor name - For open source projects, return the organization maintaining it - If multiple vendors are mentioned, return the one responsible for the vulnerable component - Normalize variations of the same vendor name - If no clear vendor is found, return ""Unknown"" - Use official vendor names where possible and keep the same name for vulnerabilities of the same vendor Format your response as follows: CWE ID: <CWE-ID number only> Explanation: <brief explanation of the vulnerability> Vendor: <vendor name> Cause: <cause of the vulnerability> Impact: <impact of the vulnerability><|eot_id|> CWE ID: 476",2024-10-30 12:15:03,6.0,MEDIUM,vulners,in eclipse mosquito versions from 200 through 2018 if a mosquitto broker is configured to create an outgoing bridge connection and that bridge connection has an incoming topic configured that makes use of topic remapping then if the remote connection sends a crafted publish packet to the bro,"In Eclipse Mosquito, versions from 2.0.0 through 2.0.18, if a Mosquitto broker is configured to create an outgoing bridge connection, and that bridge connection has an incoming topic configured that makes use of topic remapping, then if the remote connection sends a crafted PUBLISH packet to the bro",<brief explanation of the vulnerability> Vendor: <vendor name> Cause: <cause of the vulnerability> Impact: <impact of the vulnerability><|eot_id|> CWE ID: 476
